skeletons ppdeep,6.545454545454553
fstSecSkel ppdeep,6.000000000000005
fStat jump,5.361209465037982
raw ncd,5.098296175099675
fStat0 jump,4.773968082136944
skeletons ncd,4.7688253845557185
fstSecSkel ncd,4.750097658366036
fStat0 ncd,4.737266203357396
fstSecSkel jump,4.656069059148986
skeletons jump,4.627513839314217
skeletons ssdeep,4.384615384615386
fstSecSkel ssdeep,4.384615384615386
fstSecSkel bz,3.936286320747453
skeletons bz,3.5964486454839553
fStat0 bz,3.386457143321054
fStat ncd,3.135503190645439
fStat byteBag,2.340159476850485
fStat0 byteBag,2.340159476850485
fStat bz,2.3061175635558846
raw lzjd,2.162931817470011
raw bz,2.114239832741339
fstSecSkel lzjd,2.0983338659943023
skeletons lzjd,2.04432574976653
fStat lzjd,1.9215818050919538
skeletons byteBag,1.7420425079659556
fstSecSkel byteBag,1.7420425079659556
fStat0 lzjd,1.6720993034069
fstSecSkel ppdeep_mod,1.6077455048409415
skeletons ppdeep_mod,1.6057619408642918
fStat ppdeep_mod,1.2801211337037732
raw byteBag,1.2767939009513243
fStat0 ppdeep_mod,1.2361606906371467
raw ppdeep_mod,1.1543914891927978
fStat ssdeep,1.0
fStat ppdeep,1.0
raw ssdeep,0
raw ppdeep,0
fStat0 ssdeep,0
fStat0 ppdeep,0
raw jump,-1.979830147412548
