,isInner,id1,id2,group1,group2,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd
0,True,CollateralManagerState - v0.8.4 abi2 o1 runs200,CollateralManagerState - v0.8.4 abi2 o0 runs200,CollateralManagerState,CollateralManagerState,0,0,51.76470588235294,0.45321239606953895,0.16363636363636364,0.8493150684931507,0.1095890410958904,0.27788649706457924,0,0,56.38297872340426,0.5353760445682452,0.1403118040089087,0.5072463768115942,0.4782608695652174,0.23507462686567165,0,0,56.25,0.5353760445682452,0.14541387024608501,0.8985507246376812,0.4782608695652174,0.23375,0,0,29.76190476190476,0.7057220708446866,0.4423076923076923,0.8115942028985508,0.5942028985507246,0.2773109243697479,0,0,52.892561983471076,0.7057220708446866,0.2704714640198511,0.9130434782608696,0.5507246376811594,0.1986970684039088
1,False,CollateralManagerState - v0.8.4 abi2 o1 runs200,CollateralManager - v0.8.4 abi2 o0 runs200,CollateralManagerState,CollateralManager,0,0,0.0,0.1558280452311656,0.06444906444906445,0.13832853025936598,0.04034582132564846,0.054332552693208434,0,0,0.0,0.15060747306487354,0.060041407867494824,0.20496894409937894,0.11801242236024845,0.06574675324675325,0,0,0.0,0.15060747306487354,0.06224066390041494,0.20496894409937894,0.11801242236024845,0.06666666666666667,0,0,0.0,0.13962472406181015,0.2396694214876033,0.10869565217391308,0.13975155279503104,0.06302521008403361,0,0,0.0,0.13962472406181015,0.07789473684210527,0.18012422360248448,0.13975155279503104,0.05714285714285714
2,False,CollateralManagerState - v0.8.4 abi2 o1 runs200,AggregationRouterV3 - v0.8.4 abi2 o1 runs200,CollateralManagerState,AggregationRouterV3,0,0,34.48275862068965,0.33857499186639195,0.11062906724511931,0.19999999999999996,0.042424242424242475,0.07670182166826463,30,55,52.63157894736842,0.32166412988330795,0.09871244635193133,0.17500000000000004,0.08750000000000002,0.10514440433212996,27,55,52.56410256410256,0.32166412988330795,0.1010752688172043,0.19999999999999996,0.08750000000000002,0.10488245931283906,0,0,0.0,0.21188878235858102,0.3157894736842105,0.19999999999999996,0.10624999999999996,0.08658008658008658,0,0,0.0,0.21188878235858102,0.10822510822510822,0.18125000000000002,0.08125000000000004,0.07928118393234672
3,False,CollateralManagerState - v0.8.4 abi2 o1 runs200,UniswapV2Router02 - v0.8.4 abi2 o1 runs200,CollateralManagerState,UniswapV2Router02,0,0,0.0,0.20641937343840092,0.0870488322717622,0.1428571428571429,0.0374149659863946,0.04879008459571119,0,0,0.0,0.17653600222407562,0.07337526205450734,0.0921501706484642,0.08532423208191131,0.08167105758374106,0,0,0.0,0.17653600222407562,0.07563025210084033,0.07508532423208192,0.08532423208191131,0.08100979653353428,0,0,0.0,0.11824668705402651,0.21951219512195122,0.12286689419795227,0.12627986348122866,0.05423728813559322,0,0,0.0,0.11824668705402651,0.06224066390041494,0.07508532423208192,0.09556313993174059,0.053691275167785234
4,False,CollateralManagerState - v0.8.4 abi2 o1 runs200,NonfungiblePositionManager - v0.8.4 abi2 o0 runs200,CollateralManagerState,NonfungiblePositionManager,0,0,0.0,0.09373065451066465,0.04703476482617587,0.12760416666666663,0.046875,0.01739047800057018,0,0,0.0,0.09407337723424271,0.04276985743380855,0.10306406685236769,0.10027855153203347,0.03701226309921962,0,0,0.0,0.09407337723424271,0.044897959183673466,0.10306406685236769,0.10027855153203347,0.037251840285523086,0,0,0.0,0.08905058905058905,0.12781954887218044,0.14206128133704732,0.12534818941504178,0.036748329621380846,0,0,0.0,0.08905058905058905,0.05567010309278351,0.0807799442896936,0.11420612813370479,0.03151575787893947
5,False,CollateralManagerState - v0.8.4 abi2 o1 runs200,AggregationRouterV3 - v0.8.4 abi2 o0 runs200,CollateralManagerState,AggregationRouterV3,0,0,28.378378378378372,0.2203069161236073,0.07563025210084033,0.16568047337278102,0.035502958579881616,0.04089068825910931,0,0,0.0,0.21913616570554315,0.060041407867494824,0.16969696969696968,0.06060606060606055,0.06457319770013269,0,0,0.0,0.21913616570554315,0.06224066390041494,0.1575757575757576,0.06060606060606055,0.06554472984942426,0,0,0.0,0.1972972972972973,0.25,0.20606060606060606,0.09696969696969693,0.06521739130434782,0,0,0.0,0.1972972972972973,0.09168443496801706,0.1454545454545455,0.09090909090909094,0.060362173038229376
6,False,CollateralManagerState - v0.8.4 abi2 o1 runs200,CollateralManager - v0.8.4 abi2 o1 runs200,CollateralManagerState,CollateralManager,0,0,0.0,0.23516158558051117,0.10344827586206896,0.2272727272727273,0.045454545454545414,0.11179904475499734,0,0,0.0,0.21213406873143828,0.09168443496801706,0.2214765100671141,0.14429530201342278,0.147036181678214,0,0,0.0,0.21213406873143828,0.09401709401709402,0.2214765100671141,0.14429530201342278,0.14720616570327552,0,0,0.0,0.1583229036295369,0.3157894736842105,0.11073825503355705,0.1610738255033557,0.07509881422924901,0,0,0.0,0.1583229036295369,0.1010752688172043,0.2214765100671141,0.1476510067114094,0.08526413345690455
7,False,CollateralManagerState - v0.8.4 abi2 o1 runs200,UniswapV2Router02 - v0.8.4 abi2 o0 runs200,CollateralManagerState,UniswapV2Router02,0,0,0.0,0.14368400123713163,0.053497942386831275,0.13043478260869568,0.04347826086956519,0.026837806301050177,0,0,0.0,0.1260053619302949,0.04703476482617587,0.06748466257668717,0.07668711656441718,0.05321683876092136,0,0,0.0,0.1260053619302949,0.04918032786885246,0.06748466257668717,0.07668711656441718,0.05250596658711217,0,0,0.0,0.10576486609169315,0.15384615384615385,0.14417177914110424,0.11042944785276076,0.04753521126760563,0,0,0.0,0.10576486609169315,0.06224066390041494,0.05214723926380371,0.09202453987730064,0.04561101549053356
8,False,CollateralManagerState - v0.8.4 abi2 o1 runs200,NonfungiblePositionManager - v0.8.4 abi2 o1 runs200,CollateralManagerState,NonfungiblePositionManager,0,0,0.0,0.14919896178286943,0.06889352818371608,0.14206128133704732,0.03621169916434541,0.03359746434231379,0,0,0.0,0.13243064729194187,0.06224066390041494,0.12753623188405794,0.13043478260869568,0.051302767117753986,0,0,0.0,0.13243064729194187,0.06666666666666667,0.12463768115942031,0.12753623188405794,0.05192968276419479,0,0,0.0,0.1032283778397768,0.18110236220472442,0.1594202898550725,0.1333333333333333,0.04516129032258064,0,0,0.0,0.1032283778397768,0.07563025210084033,0.12463768115942031,0.12463768115942031,0.03671071953010279
9,False,CollateralManagerState - v0.8.4 abi2 o1 runs200,Synthetix - v0.8.4 abi2 o0 runs200,CollateralManagerState,Synthetix,0,0,0.0,0.1210156278459801,0.060041407867494824,0.125,0.04749999999999999,0.03957277831028345,0,0,0.0,0.11963096474613552,0.04703476482617587,0.20625000000000004,0.11250000000000004,0.05869275233437083,0,0,0.0,0.11963096474613552,0.04918032786885246,0.20625000000000004,0.11250000000000004,0.058771148708815675,0,0,0.0,0.09827803443931121,0.2,0.059374999999999956,0.140625,0.06181015452538632,0,0,0.0,0.09827803443931121,0.06666666666666667,0.20625000000000004,0.13437500000000002,0.0647693817468106
10,False,CollateralManagerState - v0.8.4 abi2 o1 runs200,DSToken - v0.8.4 abi2 o1 runs200,CollateralManagerState,DSToken,0,0,50.0,0.6790032075006168,0.20470588235294118,0.3522727272727273,0.045454545454545414,0.13822115384615385,60,74,80.64516129032258,0.7286573146292585,0.2704714640198511,0.32183908045977017,0.28735632183908044,0.26774595267745954,60,74,79.6875,0.7286573146292585,0.2736318407960199,0.31034482758620685,0.28735632183908044,0.2675,0,0,37.704918032786885,0.5362694300518135,0.3392857142857143,0.24137931034482762,0.4022988505747126,0.1761006289308176,0,0,50.442477876106196,0.5362694300518135,0.29292929292929293,0.26436781609195403,0.31034482758620685,0.1746031746031746
11,False,CollateralManagerState - v0.8.4 abi2 o1 runs200,AddressResolver - v0.8.4 abi2 o1 runs200,CollateralManagerState,AddressResolver,0,0,41.935483870967744,0.5922063666300769,0.24878048780487805,0.2816901408450704,0.04225352112676062,0.2932692307692308,44,54,57.4468085106383,0.6334716459197787,0.309462915601023,0.24242424242424243,0.2272727272727273,0.35667963683527887,46,55,58.333333333333336,0.6334716459197787,0.3161953727506427,0.24242424242424243,0.2272727272727273,0.3559322033898305,0,0,40.0,0.559748427672956,0.28205128205128205,0.21212121212121215,0.2272727272727273,0.273972602739726,0,0,58.67768595041322,0.559748427672956,0.40372670807453415,0.2727272727272727,0.2272727272727273,0.2422145328719723
12,False,CollateralManagerState - v0.8.4 abi2 o1 runs200,BinaryOptionMarketManager - v0.8.4 abi2 o0 runs200,CollateralManagerState,BinaryOptionMarketManager,0,0,0.0,0.17073680907807354,0.07112970711297072,0.24890829694323147,0.05240174672489084,0.048506264053967234,0,0,0.0,0.16852283518950187,0.06666666666666667,0.2276785714285714,0.15625,0.0690454124189064,0,0,0.0,0.16852283518950187,0.06889352818371608,0.2276785714285714,0.15625,0.06870937790157845,0,0,0.0,0.16758241758241757,0.3392857142857143,0.1473214285714286,0.2008928571428571,0.07373271889400922,0,0,0.0,0.16758241758241757,0.0870488322717622,0.1696428571428571,0.1875,0.06262833675564682
