,isInner,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd
fstSecSkel jump,0.292150142349113,,0.4576733238048511,0.4807579421051521,0.49792728258435,0.5777299808575046,0.19329534462236347,0.46306206911610737,0.30097751046364957,0.3874925329204729,0.49866583106608897,0.5167151935119786,0.5440607415111607,0.9869872604370525,0.4778062358923686,0.30020430046405927,0.3881204955089535,0.49866583106608897,0.5132073224041578,0.542275142079119,1.0,0.4814881164926129,0.15947163375384127,0.38170074851187846,0.48282423698526017,0.33478553402522193,0.47222475645112694,0.8630627718804773,0.4471146625630945,0.0414166020347595,0.4146647450367318,0.48282423698526017,0.5239412246352249,0.5414603235444999,0.8910148683128105,0.47244247625610813
fstSecSkel ncd,0.29649016282556656,,0.5436766432944224,0.614775954798093,0.7011205128658935,0.5235165843441604,0.19887910477909876,0.804059865817994,0.26201794168332276,0.4510131512095778,0.6268168940358846,0.752995448936135,0.5094226441747571,0.481921666183516,0.9925594607261815,0.26125038097960457,0.4498459899157779,0.6268168940358846,0.7529299682238989,0.5114238342290447,0.4814881164926129,1.0,0.1582413486892396,0.5276289203167521,0.618044209734065,0.26567325532137975,0.4762970131983795,0.5321228079894695,0.7757701371537723,0.09628818852249187,0.5052865270156183,0.618044209734065,0.5805406562025625,0.5102629999303842,0.5072971620132541,0.8518582369725451
fStat ppdeep,0.5247302353555351,,0.1765033603752368,0.1518346994788473,0.16134695563920318,0.16046228352699154,0.15452486379673297,0.15930694699691125,0.26307003059233014,0.17863609000376404,0.15716223279389457,0.1601912247874873,0.16150761822218063,0.15944415049060334,0.1582481546223921,0.2639471753769155,0.17860550250489474,0.15716223279389457,0.15910587447990837,0.16044846784109681,0.15947163375384127,0.1582413486892396,1.0,0.07193396224524115,0.16035875278292297,0.1499942039617985,0.16041394423277014,0.16046228352699157,0.16042775100167575,-0.00931937714346791,0.19815975574733963,0.16035875278292297,0.1596230461543804,0.16046228352699157,0.15946476160569417,0.15933435936001475
fStat ppdeep_mod,0.2387536538063952,,0.6979617837506038,0.7065075689686492,0.649599500816566,0.5939020512309652,0.08806413506032175,0.4661311188865316,0.15285724406476545,0.5778952783422678,0.7016608684812268,0.6225548495369341,0.6036247860547057,0.37819863459702846,0.525631894450827,0.15249305206461,0.5765167292343563,0.7016608684812268,0.6222976453625115,0.6125413589537168,0.38170074851187846,0.5276289203167521,0.07193396224524115,1.0,0.7101425943342161,-0.04471664354368898,0.6276617183210359,0.4183988421482523,0.5385182837005011,0.04415762092325595,0.5479512076442408,0.7101425943342161,0.6284412822756359,0.6026923674026382,0.38997299486253606,0.5779162076991295
fStat byteBag,0.29182333831871243,,0.671297532053396,0.8636050911592709,0.7957232450680994,0.7559917240842222,0.24771438439981083,0.5612797818987626,0.23672159351846275,0.5614635770548556,0.8804609563123497,0.7354608982050469,0.7355017328459335,0.47998644225830694,0.6171246772213511,0.23595727094072816,0.5578997613375207,0.8804609563123497,0.7362617082272783,0.7402660022905649,0.48282423698526017,0.618044209734065,0.16035875278292297,0.7101425943342161,1.0,0.09917730068814413,0.7388162860010725,0.5134891995003477,0.6230749952756112,0.034600591739278104,0.48626130427666586,1.0,0.7180298018632161,0.7281099575955157,0.498213882394297,0.6756129257228033
fStat lzjd,0.18979169533744392,,0.09061503123276046,0.08383971639406103,0.16879944617050316,0.1619246051613166,0.012020599095488577,0.2984192290554454,0.2943046423795884,0.052025742655757656,0.10589826459229291,0.19652661320019693,0.12078119034602088,0.3393852201958032,0.26559850456093104,0.2947093266054864,0.05052780287348071,0.10589826459229291,0.1926105247104867,0.11983803107727584,0.33478553402522193,0.26567325532137975,0.1499942039617985,-0.04471664354368898,0.09917730068814413,1.0,0.05163132022369973,0.33195406276414746,0.24973089922118022,0.07385735551507984,0.17351540224424278,0.09917730068814413,0.24185123028043576,0.12260744863652408,0.3258864319443909,0.22883031671994244
fStat bz,0.2260523081015237,,0.596351537646813,0.674638718539871,0.6273800647026173,0.7846597868312672,0.21930699976004622,0.41194185317807824,0.15639879791089503,0.5108043746470081,0.697006235349405,0.587602264837482,0.8629712642931339,0.4677517426003713,0.474510658428399,0.15593824960819183,0.5118071272161547,0.697006235349405,0.5853020015228076,0.8633527206571031,0.47222475645112694,0.4762970131983795,0.16041394423277014,0.6276617183210359,0.7388162860010725,0.05163132022369973,1.0,0.5075539334237139,0.5186332750080322,0.033107609071359394,0.38855687192054594,0.7388162860010726,0.6386216388556978,0.8561098826151348,0.47943861616507505,0.5385078756707342
fStat jump,0.27662742857357464,,0.4896423806430796,0.5105633351157304,0.5385595925137674,0.6001894428657538,0.1957947975737377,0.49287842816685945,0.30848078517591376,0.43073992999437966,0.5334539211836191,0.5668366658230674,0.5784149172178089,0.8642922137893762,0.5294776504225644,0.30770698183067685,0.4320541417562408,0.5334539211836191,0.5633260765973589,0.5774926833874565,0.8630627718804773,0.5321228079894695,0.16046228352699157,0.4183988421482523,0.5134891995003477,0.33195406276414746,0.5075539334237139,1.0,0.4870216633831414,0.054192413046319436,0.4414351310712085,0.5134891995003477,0.5528397783372965,0.5740118832343064,0.848638948471005,0.5158597331256518
fStat ncd,0.29659222484677394,,0.5851799638561611,0.5938226480795732,0.6901082161724149,0.5541733157499171,0.17805116344164285,0.712269875261638,0.26313716521125585,0.4459141918454802,0.6118902742888908,0.6814419558707996,0.5547043147004115,0.44402348331811736,0.772791843332834,0.26236921113378997,0.44316162239144397,0.6118902742888908,0.6791333386433582,0.555502953023517,0.4471146625630945,0.7757701371537723,0.16042775100167575,0.5385182837005011,0.6230749952756112,0.24973089922118022,0.5186332750080322,0.4870216633831414,1.0,0.10384643843371191,0.5191754161525376,0.6230749952756112,0.6250547225547092,0.5583057251263341,0.47758504430393284,0.8802065534852451
fStat0 ppdeep,-0.017760320476203344,,0.052966397650495815,0.04964432727809467,0.06811398815640589,0.05118172343263502,0.09285497094191877,0.08876567379417218,0.13880234657536888,0.06413682475205154,0.05867056860138461,0.06959128907341505,0.057195715418717805,0.04140946431785432,0.09629232986089607,0.13878492550889607,0.057193319193743736,0.05867056860138461,0.07109795994588607,0.06020860790997177,0.0414166020347595,0.09628818852249187,-0.00931937714346791,0.04415762092325595,0.034600591739278104,0.07385735551507984,0.033107609071359394,0.054192413046319436,0.10384643843371191,1.0,0.10965693660402324,0.034600591739278104,0.039194693258631515,0.05870844746684606,0.04819178735652064,0.09780951891239428
fStat0 ppdeep_mod,0.3782340433116718,,0.5844546085134871,0.5012592433001389,0.528162707745329,0.44213861335180005,0.07632040445769235,0.4827876835121399,0.4026067416429469,0.4690309150698794,0.502196614489106,0.4992538668988529,0.442315979130061,0.41318589312478,0.5020270368391168,0.4017555019931937,0.4703004904455688,0.502196614489106,0.4975609481329921,0.4415143607793938,0.4146647450367318,0.5052865270156183,0.19815975574733963,0.5479512076442408,0.48626130427666586,0.17351540224424278,0.38855687192054594,0.4414351310712085,0.5191754161525376,0.10965693660402324,1.0,0.4862613042766658,0.5368167612192827,0.44647675408211474,0.42027715868877064,0.5277589862881408
fStat0 byteBag,0.29182333831871243,,0.671297532053396,0.8636050911592709,0.7957232450680994,0.7559917240842222,0.24771438439981083,0.5612797818987626,0.23672159351846275,0.5614635770548556,0.8804609563123497,0.7354608982050469,0.7355017328459335,0.47998644225830694,0.6171246772213511,0.23595727094072816,0.5578997613375207,0.8804609563123497,0.7362617082272783,0.7402660022905649,0.48282423698526017,0.618044209734065,0.16035875278292297,0.7101425943342161,1.0,0.09917730068814413,0.7388162860010726,0.5134891995003477,0.6230749952756112,0.034600591739278104,0.4862613042766658,1.0,0.7180298018632161,0.7281099575955157,0.498213882394297,0.6756129257228033
fStat0 lzjd,0.2863231760941215,,0.6785567351200142,0.6835588560224473,0.7280906727269909,0.6899502521411183,0.14063327888537172,0.5326219203283604,0.2648937615460973,0.5481284290164119,0.6983813627339778,0.6743261216765161,0.6785660870983155,0.5215219357640507,0.5789280439688499,0.26412438214603123,0.5463467864489385,0.6983813627339778,0.6694147666125649,0.6789401995464824,0.5239412246352249,0.5805406562025625,0.1596230461543804,0.6284412822756359,0.7180298018632161,0.24185123028043576,0.6386216388556978,0.5528397783372965,0.6250547225547092,0.039194693258631515,0.5368167612192827,0.7180298018632161,1.0,0.6864146990430323,0.5053705631663937,0.6337395091358857
fStat0 bz,0.2478906862558581,,0.6224587456095632,0.6771654953692369,0.6548434402221258,0.8463790579522948,0.23146451587896646,0.4613796496250277,0.21717164904901076,0.518295951676018,0.7000560814371256,0.6140009380175059,0.9548409395572344,0.5372324633649929,0.5077890340528495,0.21670334028591384,0.5183063453652196,0.7000560814371256,0.6103131825255257,0.9589288824938277,0.5414603235444999,0.5102629999303842,0.16046228352699157,0.6026923674026382,0.7281099575955157,0.12260744863652408,0.8561098826151348,0.5740118832343064,0.5583057251263341,0.05870844746684606,0.44647675408211474,0.7281099575955157,0.6864146990430323,1.0,0.5388525654944814,0.5709490421862922
fStat0 jump,0.28807202011326233,,0.45934309330365136,0.4882272208498459,0.503969396577505,0.5728808250261073,0.2011498304380725,0.48534183677337306,0.30287682728329196,0.3903526393264468,0.5099223821360672,0.5289003164380974,0.5451570689508156,0.8906027908431748,0.5053386113678118,0.30210341059291035,0.3905833495579886,0.5099223821360672,0.5260840925712578,0.5438022950449664,0.8910148683128105,0.5072971620132541,0.15946476160569417,0.38997299486253606,0.498213882394297,0.3258864319443909,0.47943861616507505,0.848638948471005,0.47758504430393284,0.04819178735652064,0.42027715868877064,0.498213882394297,0.5053705631663937,0.5388525654944814,1.0,0.5009258942129313
fStat0 ncd,0.2965411806634776,,0.6021589597205822,0.6558279788274323,0.7534317782510599,0.5773187435464286,0.19183394588567387,0.7575705549162021,0.269118005549306,0.4816194230284004,0.6689032480800253,0.757277327689225,0.568551529408565,0.47081120175857255,0.849571994857595,0.26834942729996747,0.47846479214367504,0.6689032480800253,0.7565194833284523,0.5705556053521114,0.47244247625610813,0.8518582369725451,0.15933435936001475,0.5779162076991295,0.6756129257228033,0.22883031671994244,0.5385078756707342,0.5158597331256518,0.8802065534852451,0.09780951891239428,0.5277589862881408,0.6756129257228033,0.6337395091358857,0.5709490421862922,0.5009258942129313,1.0
