,isInner,id1,id2,group1,group2,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd
0,False,DSToken - v0.7.6 abi2 o1 runs200,CollateralManagerState - v0.5.16 abi2 o1 runs200,DSToken,CollateralManagerState,0,47.2972972972973,0.638424547744447,0.17162471395881007,0.36046511627906974,0.03488372093023251,0.09914529914529914,74,80.64516129032258,0.708079268292683,0.30279898218829515,0.3529411764705882,0.2823529411764706,0.22179487179487178,74,79.6875,0.708079268292683,0.30279898218829515,0.2823529411764706,0.2823529411764706,0.22036082474226804,0,43.05555555555556,0.5402597402597402,0.3391304347826087,0.2588235294117647,0.4,0.16233766233766234,0,49.51456310679612,0.5402597402597402,0.28,0.3058823529411765,0.2941176470588235,0.152317880794702
1,False,DSToken - v0.7.6 abi2 o1 runs200,NonfungiblePositionManager - v0.5.16 abi2 o1 runs200,DSToken,NonfungiblePositionManager,0,0.0,0.14440086782376502,0.05785123966942149,0.2414772727272727,0.03693181818181823,0.03611714788368001,0,0.0,0.14380062305295951,0.08936170212765958,0.25688073394495414,0.13761467889908252,0.061488673139158574,0,0.0,0.14380062305295951,0.08936170212765958,0.25688073394495414,0.13761467889908252,0.061933534743202415,0,0.0,0.1255868544600939,0.1657142857142857,0.25688073394495414,0.1651376146788991,0.06063947078280044,0,0.0,0.1255868544600939,0.06224066390041494,0.25382262996941896,0.1437308868501529,0.050520833333333334
2,False,DSToken - v0.7.6 abi2 o1 runs200,CollateralManagerState - v0.8.4 abi2 o1 runs200,DSToken,CollateralManagerState,0,52.4390243902439,0.6749142577168055,0.20187793427230047,0.34883720930232553,0.023255813953488413,0.11177884615384616,0,77.41935483870968,0.7177451369591108,0.2641975308641975,0.3411764705882353,0.24705882352941178,0.2205128205128205,0,76.5625,0.7177451369591108,0.2736318407960199,0.2823529411764706,0.24705882352941178,0.22036082474226804,0,37.878787878787875,0.517948717948718,0.3157894736842105,0.23529411764705888,0.388235294117647,0.18181818181818182,0,49.056603773584904,0.517948717948718,0.27680798004987534,0.2941176470588235,0.2823529411764706,0.16556291390728478
3,False,DSToken - v0.7.6 abi2 o1 runs200,AddressResolver - v0.6.12 abi2 o1 runs200,DSToken,AddressResolver,0,41.53846153846154,0.5753534275806882,0.17972350230414746,0.5,0.03488372093023251,0.1502403846153846,47,47.87234042553192,0.5772224498156493,0.23373493975903614,0.48235294117647054,0.15294117647058825,0.33205128205128204,47,47.916666666666664,0.5772224498156493,0.23671497584541062,0.45882352941176474,0.15294117647058825,0.32989690721649484,0,48.68421052631579,0.43908629441624364,0.3220338983050847,0.43529411764705883,0.18823529411764706,0.3051948051948052,50,50.450450450450454,0.43908629441624364,0.28690807799442897,0.45882352941176474,0.15294117647058825,0.27483443708609273
4,False,DSToken - v0.7.6 abi2 o1 runs200,Synthetix - v0.6.12 abi2 o1 runs200,DSToken,Synthetix,0,29.411764705882348,0.22044011034836722,0.07789473684210527,0.27862595419847325,0.03816793893129766,0.06232151856206954,0,0.0,0.22063709204612078,0.1010752688172043,0.2992125984251969,0.13385826771653542,0.1319204152249135,0,0.0,0.22063709204612078,0.1010752688172043,0.2913385826771654,0.13385826771653542,0.13122563880467736,0,0.0,0.15239154616240266,0.19298245614035087,0.3188976377952756,0.16141732283464572,0.1141552511415525,0,0.0,0.15239154616240266,0.0870488322717622,0.2913385826771654,0.1417322834645669,0.0920920920920921
5,False,DSToken - v0.7.6 abi2 o1 runs200,BinaryOptionMarketManager - v0.5.16 abi2 o1 runs200,DSToken,BinaryOptionMarketManager,0,0.0,0.2628510050636796,0.09401709401709402,0.3767441860465116,0.041860465116279055,0.0384,0,0.0,0.28243987975951906,0.11546840958605664,0.4,0.14500000000000002,0.10891544117647059,0,0.0,0.28243987975951906,0.11546840958605664,0.4,0.14500000000000002,0.10952600092038656,0,0.0,0.22355769230769232,0.2911392405063291,0.39,0.20499999999999996,0.1075,0,0.0,0.22355769230769232,0.11790393013100436,0.395,0.16500000000000004,0.0853932584269663
6,True,DSToken - v0.7.6 abi2 o1 runs200,DSToken - v0.6.12 abi2 o1 runs200,DSToken,DSToken,100,98.78048780487805,0.9834898946769143,0.9393939393939394,1.0,0.9883720930232558,0.9627403846153846,100,100.0,1.0,1.0,1.0,1.0,0.9705128205128205,100,100.0,1.0,1.0,1.0,1.0,0.9716494845360825,100,100.0,1.0,1.0,1.0,1.0,0.9675324675324676,100,100.0,1.0,1.0,1.0,1.0,0.9271523178807947
7,False,DSToken - v0.7.6 abi2 o1 runs200,AggregationRouterV3 - v0.8.4 abi2 o1 runs200,DSToken,AggregationRouterV3,0,38.095238095238095,0.36179039301310045,0.09168443496801706,0.3939393939393939,0.042424242424242475,0.06543624161073826,0,50.0,0.37809426924381145,0.10583153347732181,0.35624999999999996,0.08750000000000002,0.11462093862815885,0,50.0,0.37809426924381145,0.10344827586206896,0.4,0.08750000000000002,0.11437613019891502,0,29.629629629629633,0.2646502835538752,0.275,0.38125,0.11875000000000002,0.1038961038961039,0,0.0,0.2646502835538752,0.13274336283185842,0.39375000000000004,0.08125000000000004,0.08879492600422834
8,False,DSToken - v0.7.6 abi2 o1 runs200,UniswapV2Router02 - v0.8.4 abi2 o1 runs200,DSToken,UniswapV2Router02,0,0.0,0.21520123045372982,0.07563025210084033,0.26870748299319724,0.04761904761904767,0.04721621089907535,0,0.0,0.20688375545041285,0.09401709401709402,0.24914675767918093,0.14675767918088733,0.08769288671433947,0,0.0,0.20688375545041285,0.09401709401709402,0.2593856655290102,0.14675767918088733,0.08741522230595328,0,0.0,0.14777327935222673,0.19298245614035087,0.273037542662116,0.16382252559726962,0.0711864406779661,0,0.0,0.14777327935222673,0.06444906444906445,0.23890784982935154,0.14675767918088733,0.06963087248322147
9,False,DSToken - v0.7.6 abi2 o1 runs200,NonfungiblePositionManager - v0.7.6 abi2 o1 runs200,DSToken,NonfungiblePositionManager,0,0.0,0.15966037561718427,0.06224066390041494,0.12239583333333337,0.046875,0.04236732911115964,0,0.0,0.15565147019152953,0.09401709401709402,0.2492492492492493,0.13213213213213215,0.06759278457391665,0,0.0,0.15565147019152953,0.09401709401709402,0.2552552552552553,0.13213213213213215,0.06741339970960382,0,0.0,0.1279394180948585,0.1590909090909091,0.25225225225225223,0.1711711711711712,0.05997818974918211,0,0.0,0.1279394180948585,0.05567010309278351,0.25225225225225223,0.13813813813813813,0.050100200400801605
