,id1,id2,hashLevenshtein,hashJaccard,foursJaccard,byteBagJaccard,byteBagJaccardNoZeros,lzjdSimilarity,sizeSimilarity
0,314024856,308636190,50.602409638554214,34.21052631578947,1.0,0.6287262872628726,0.6758304696449027,0.3986013986013986,0.6826878208119459
1,314024856,324855943,96.7741935483871,87.09677419354838,1.0,0.9799720540288775,0.9727047146401985,0.817258883248731,0.9836677554829678
2,314024856,549889557,65.07936507936509,43.24324324324324,1.0,0.7945971122496507,0.7208436724565757,0.4739454094292804,0.7979468035464302
3,314024856,406019605,50.0,37.83783783783784,1.0,0.6215606675687867,0.6575342465753424,0.3981042654028436,0.6775548296780215
4,314024856,448001308,78.37837837837839,61.111111111111114,0.7142857142857143,0.846215139442231,0.7646484375,0.5387840670859538,0.86029706945002
5,314024856,412904609,50.602409638554214,38.88888888888889,1.0,0.5574738755111313,0.6244186046511628,0.4108527131782946,0.5996266915538964
6,314024856,428913111,63.492063492063494,42.857142857142854,1.0,0.8497757847533632,0.7806524184476941,0.416988416988417,0.9248716752216519
7,314024856,470222013,83.87096774193549,58.333333333333336,1.0,0.9255178492728074,0.84375,0.525987525987526,0.9627133872416891
8,314024856,413538377,63.9344262295082,33.33333333333333,1.0,0.7861459786145979,0.6987654320987654,0.4659949622166247,0.7928138124125058
9,314024856,484313930,63.492063492063494,40.476190476190474,1.0,0.7966711650922177,0.7573696145124716,0.42168674698795183,0.8637424171721885
10,314024856,793545558,91.93548387096774,68.18181818181817,1.0,0.9389279437609842,0.8737650933040615,0.5717344753747323,0.9440528634361234
11,314024856,575163969,51.19047619047619,34.21052631578947,1.0,0.5756791720569211,0.6595092024539877,0.3423076923076923,0.7050863275781615
12,314024856,561054498,74.28571428571428,58.333333333333336,1.0,0.9172535211267606,0.8378088077336198,0.5323590814196242,0.9683687302304564
13,314024856,560631023,52.38095238095238,37.83783783783784,1.0,0.5459162082099027,0.6487279843444227,0.30604982206405695,0.704619692020532
14,314024856,613074465,83.60655737704919,48.64864864864865,1.0,0.9093708754949406,0.8347639484978541,0.5165289256198347,0.9754210286754665
15,314024856,708266076,55.55555555555556,43.47826086956522,0.23076923076923078,0.6077825818406424,0.40168687401159725,0.42524271844660194,0.6996408749591904
16,308636190,324855943,49.382716049382715,30.76923076923077,1.0,0.6335773101555352,0.6732101616628176,0.39211136890951276,0.6940227703984819
17,308636190,549889557,72.22222222222223,48.38709677419355,1.0,0.7578947368421053,0.8323529411764706,0.5269922879177378,0.8555555555555555
18,308636190,406019605,93.24324324324324,83.33333333333334,1.0,0.9843430905377808,0.9655172413793104,0.7201166180758017,0.9924812030075187
19,308636190,448001308,44.44444444444444,27.500000000000004,0.7142857142857143,0.548159749412686,0.5599250936329588,0.42857142857142855,0.5873143315937375
20,308636190,412904609,91.93548387096774,79.16666666666666,1.0,0.8757679180887372,0.8944193061840121,0.744408945686901,0.8783321941216679
21,308636190,428913111,52.325581395348834,32.5,1.0,0.6772151898734177,0.690504103165299,0.4492753623188406,0.7381432896064581
22,308636190,470222013,48.19277108433735,25.0,1.0,0.6109170305676855,0.6135662898252826,0.4117647058823529,0.6572327044025157
23,308636190,413538377,70.83333333333333,50.0,1.0,0.7459966869133076,0.8002915451895044,0.49230769230769234,0.861094761624485
24,308636190,484313930,55.55555555555556,33.33333333333333,1.0,0.7064881565396498,0.6793802145411204,0.4423076923076923,0.7903835764451648
25,308636190,793545558,48.19277108433735,26.31578947368421,1.0,0.6062822719449226,0.6329509906152242,0.3953488372093023,0.6444933920704846
26,308636190,575163969,63.492063492063494,42.5,1.0,0.7819053325344517,0.7093425605536332,0.431980906921241,0.9682329583057577
27,308636190,561054498,47.61904761904762,25.0,1.0,0.6179577464788732,0.621900826446281,0.39211136890951276,0.6610935381834614
28,308636190,560631023,61.904761904761905,37.5,1.0,0.7184971098265895,0.6637931034482759,0.42857142857142855,0.9688741721854305
29,308636190,613074465,47.5609756097561,20.0,1.0,0.6180371352785146,0.6125385405960946,0.3986013986013986,0.6659080564406008
30,308636190,708266076,42.10526315789474,37.2093023255814,0.23076923076923078,0.4633042353701908,0.3343932167461579,0.48514851485148514,0.4776363042768528
31,324855943,549889557,61.904761904761905,39.473684210526315,1.0,0.8026440037771483,0.7205513784461153,0.45232273838630804,0.8111954459203036
32,324855943,406019605,51.21951219512195,34.21052631578947,1.0,0.6330275229357798,0.672093023255814,0.40476190476190477,0.6888045540796964
33,324855943,448001308,78.89908256880734,61.111111111111114,0.7142857142857143,0.8366613418530351,0.7612966601178782,0.5599128540305011,0.8462464873544762
34,324855943,412904609,50.617283950617285,35.13513513513514,1.0,0.5664819944598338,0.6347517730496454,0.41818181818181815,0.6095825426944972
35,324855943,428913111,63.492063492063494,50.0,1.0,0.8633257403189066,0.7931428571428571,0.403921568627451,0.9402277039848197
36,324855943,470222013,84.31372549019608,58.333333333333336,1.0,0.9339580544399821,0.8425624321389794,0.5364806866952789,0.9469901168014375
37,324855943,413538377,67.21311475409837,36.84210526315789,1.0,0.8017037387600567,0.7175283732660782,0.4659949622166247,0.8059772296015181
38,324855943,484313930,63.492063492063494,43.90243902439025,1.0,0.808588396528095,0.7675489067894131,0.401980198019802,0.8780834914611005
39,324855943,793545558,91.93548387096774,71.42857142857143,1.0,0.9269366197183099,0.8665931642778391,0.5464362850971922,0.9286343612334802
