                            id1       id2  hashLevenshtein  hashJaccard  foursJaccard  byteBagJaccard  byteBagJaccardNoZeros  lzjdSimilarity  sizeSimilarity
id1                    1.000000  0.060706         0.091243     0.046535     -0.144266        0.015849              -0.062037        0.105588       -0.001358
id2                    0.060706  1.000000        -0.065222    -0.039822     -0.331738       -0.070414              -0.196073        0.060045       -0.089433
hashLevenshtein        0.091243 -0.065222         1.000000     0.657143      0.199987        0.731910               0.577962        0.515704        0.690361
hashJaccard            0.046535 -0.039822         0.657143     1.000000      0.044087        0.536902               0.486321        0.549474        0.528581
foursJaccard          -0.144266 -0.331738         0.199987     0.044087      1.000000        0.264251               0.396376       -0.083567        0.306179
byteBagJaccard         0.015849 -0.070414         0.731910     0.536902      0.264251        1.000000               0.631155        0.484901        0.759913
byteBagJaccardNoZeros -0.062037 -0.196073         0.577962     0.486321      0.396376        0.631155               1.000000        0.378720        0.594118
lzjdSimilarity         0.105588  0.060045         0.515704     0.549474     -0.083567        0.484901               0.378720        1.000000        0.341219
sizeSimilarity        -0.001358 -0.089433         0.690361     0.528581      0.306179        0.759913               0.594118        0.341219        1.000000
