,isInner,id1,id2,group1,group2,fourbytes,ppdeep,byteBagJaccard,lzjd1,size
30,False,UniswapV2Router02 - 0.5.16.hex,NonfungiblePositionManager - 0.5.16.hex,UniswapV2Router02,NonfungiblePositionManager,0.01639344262295082,36.231884057971016,0.6181776661338205,0.14541387024608501,0.7088393258724237
31,False,UniswapV2Router02 - 0.5.16.hex,NonfungiblePositionManager - 0.8.4.hex,UniswapV2Router02,NonfungiblePositionManager,0.01639344262295082,35.71428571428571,0.5956919810694856,0.14477361654555618,0.6735042735042736
32,False,UniswapV2Router02 - 0.8.4.hex,Synthetix - 0.6.12.hex,UniswapV2Router02,Synthetix,0.0,51.21951219512195,0.7859761419842887,0.3111395646606914,0.971886450022258
33,False,UniswapV2Router02 - 0.8.4.hex,Synthetix - 0.8.4.hex,UniswapV2Router02,Synthetix,0.0,53.65853658536585,0.791076568796776,0.3438320209973753,0.9820425732252749
34,False,UniswapV2Router02 - 0.8.4.hex,Synthetix - 0.7.6.hex,UniswapV2Router02,Synthetix,0.0,48.78048780487805,0.7869291705498602,0.309462915601023,0.9706879430195527
35,False,UniswapV2Router02 - 0.8.4.hex,Synthetix - 0.5.16.hex,UniswapV2Router02,Synthetix,0.0,51.21951219512195,0.7822387207310109,0.30362826225334183,0.9976087179311994
36,False,UniswapV2Router02 - 0.7.6.hex,Synthetix - 0.6.12.hex,UniswapV2Router02,Synthetix,0.0,47.5,0.65398341843738,0.1844997108155003,0.9171658093157635
37,False,UniswapV2Router02 - 0.7.6.hex,Synthetix - 0.8.4.hex,UniswapV2Router02,Synthetix,0.0,47.5,0.6459905151972408,0.17768832662449685,0.8753741130578068
38,False,UniswapV2Router02 - 0.7.6.hex,Synthetix - 0.7.6.hex,UniswapV2Router02,Synthetix,0.0,50.0,0.6546683519261417,0.17836593785960875,0.9182982326172082
39,False,UniswapV2Router02 - 0.7.6.hex,Synthetix - 0.5.16.hex,UniswapV2Router02,Synthetix,0.0,47.5,0.6453119965632048,0.1817657241777265,0.8892494790421207
40,False,UniswapV2Router02 - 0.6.12.hex,Synthetix - 0.6.12.hex,UniswapV2Router02,Synthetix,0.0,47.5,0.6541650650705617,0.18040345821325648,0.9172362765132831
41,False,UniswapV2Router02 - 0.6.12.hex,Synthetix - 0.8.4.hex,UniswapV2Router02,Synthetix,0.0,47.5,0.6461679422227014,0.17363896848137536,0.8754413693378619
42,False,UniswapV2Router02 - 0.6.12.hex,Synthetix - 0.7.6.hex,UniswapV2Router02,Synthetix,0.0,50.0,0.654850233580654,0.1743119266055046,0.9183687868204748
43,False,UniswapV2Router02 - 0.6.12.hex,Synthetix - 0.5.16.hex,UniswapV2Router02,Synthetix,0.0,47.5,0.6454887218045112,0.17768832662449685,0.8893178013869436
44,False,UniswapV2Router02 - 0.5.16.hex,Synthetix - 0.6.12.hex,UniswapV2Router02,Synthetix,0.0,47.5,0.6824379825858387,0.20046893317702227,0.9439785779719541
45,False,UniswapV2Router02 - 0.5.16.hex,Synthetix - 0.8.4.hex,UniswapV2Router02,Synthetix,0.0,47.5,0.6733114824566117,0.1886244921648288,0.9009651276187914
46,False,UniswapV2Router02 - 0.5.16.hex,Synthetix - 0.7.6.hex,UniswapV2Router02,Synthetix,0.0,50.0,0.6821319018404908,0.19976567076742824,0.9451441069601721
47,False,UniswapV2Router02 - 0.5.16.hex,Synthetix - 0.5.16.hex,UniswapV2Router02,Synthetix,0.0,47.5,0.6753191032929314,0.19416909620991255,0.9152461312472244
48,False,UniswapV2Router02 - 0.8.4.hex,AggregationRouterV3 - 0.5.16.hex,UniswapV2Router02,AggregationRouterV3,0.0,43.80952380952381,0.5420241286863271,0.2256134051466188,0.543094887511557
49,False,UniswapV2Router02 - 0.8.4.hex,AggregationRouterV3 - 0.7.6.hex,UniswapV2Router02,AggregationRouterV3,0.0,42.30769230769231,0.5176020921343794,0.2132701421800948,0.5250145532993186
50,False,UniswapV2Router02 - 0.8.4.hex,AggregationRouterV3 - 0.8.4.hex,UniswapV2Router02,AggregationRouterV3,0.0,44.76190476190476,0.5536685238638652,0.2404603270745003,0.576276409957881
51,False,UniswapV2Router02 - 0.8.4.hex,AggregationRouterV3 - 0.6.12.hex,UniswapV2Router02,AggregationRouterV3,0.0,40.77669902912621,0.5176020921343794,0.22341696535244923,0.5251857685854193
52,False,UniswapV2Router02 - 0.7.6.hex,AggregationRouterV3 - 0.5.16.hex,UniswapV2Router02,AggregationRouterV3,0.0,44.76190476190476,0.5026451483292038,0.1460548405148293,0.6092735584495409
53,False,UniswapV2Router02 - 0.7.6.hex,AggregationRouterV3 - 0.7.6.hex,UniswapV2Router02,AggregationRouterV3,0.0,45.19230769230769,0.48309470995496406,0.13588463671658346,0.5889900503246129
54,False,UniswapV2Router02 - 0.7.6.hex,AggregationRouterV3 - 0.8.4.hex,UniswapV2Router02,AggregationRouterV3,0.0,43.80952380952381,0.494077162332076,0.13777777777777778,0.646498405746994
55,False,UniswapV2Router02 - 0.7.6.hex,AggregationRouterV3 - 0.6.12.hex,UniswapV2Router02,AggregationRouterV3,0.0,44.66019417475728,0.48309470995496406,0.13967723984418476,0.5891821290000384
56,False,UniswapV2Router02 - 0.6.12.hex,AggregationRouterV3 - 0.5.16.hex,UniswapV2Router02,AggregationRouterV3,0.0,44.76190476190476,0.5026451483292038,0.14477361654555618,0.6092267506626206
