,isInner,id1,id2,group1,group2,fourbytes,ppdeep,byteBagJaccard,lzjd1,size
32,True,Synthetix - 0.6.12.hex,Synthetix - 0.5.16.hex,Synthetix,Synthetix,1.0,84.21052631578948,0.9661089139032553,0.6037588097102584,0.9695623953814095
33,True,Synthetix - 0.8.4.hex,Synthetix - 0.7.6.hex,Synthetix,Synthetix,1.0,85.5072463768116,0.964675736684766,0.6331738437001595,0.9532568853616706
34,True,Synthetix - 0.8.4.hex,Synthetix - 0.5.16.hex,Synthetix,Synthetix,1.0,78.94736842105263,0.969078986945798,0.5693486590038315,0.9843965430272051
35,True,Synthetix - 0.7.6.hex,Synthetix - 0.5.16.hex,Synthetix,Synthetix,1.0,78.94736842105263,0.9651375030421027,0.6037588097102584,0.9683667543470091
36,True,CollateralManagerState - 0.8.4.hex,CollateralManagerState - 0.5.16.hex,CollateralManagerState,CollateralManagerState,1.0,92.96875,0.9516496018202503,0.558599695585997,0.9488758413289418
37,True,CollateralManagerState - 0.8.4.hex,CollateralManagerState - 0.6.12.hex,CollateralManagerState,CollateralManagerState,1.0,96.875,0.9465301478953356,0.6529459241323649,0.9460117428039525
38,True,CollateralManagerState - 0.8.4.hex,CollateralManagerState - 0.7.6.hex,CollateralManagerState,CollateralManagerState,1.0,96.09375,0.9487763232783153,0.7038269550748752,0.9468709723614492
39,True,CollateralManagerState - 0.5.16.hex,CollateralManagerState - 0.6.12.hex,CollateralManagerState,CollateralManagerState,1.0,95.3125,0.9946380697050938,0.5962587685113017,0.9969815876848778
40,True,CollateralManagerState - 0.5.16.hex,CollateralManagerState - 0.7.6.hex,CollateralManagerState,CollateralManagerState,1.0,94.53125,0.992268807612251,0.6228209191759112,0.9978871113794144
41,True,CollateralManagerState - 0.6.12.hex,CollateralManagerState - 0.7.6.hex,CollateralManagerState,CollateralManagerState,1.0,98.4375,0.9976083707025412,0.7224558452481077,0.9990925589836661
42,True,AggregationRouterV3 - 0.5.16.hex,AggregationRouterV3 - 0.7.6.hex,AggregationRouterV3,AggregationRouterV3,1.0,70.37037037037037,0.9512580527531299,0.4883720930232558,0.9667087011349307
43,True,AggregationRouterV3 - 0.5.16.hex,AggregationRouterV3 - 0.8.4.hex,AggregationRouterV3,AggregationRouterV3,1.0,64.6341463414634,0.9305442256147303,0.4453069865913903,0.9424208212014974
44,True,AggregationRouterV3 - 0.5.16.hex,AggregationRouterV3 - 0.6.12.hex,AggregationRouterV3,AggregationRouterV3,1.0,75.0,0.9512580527531299,0.5226765799256505,0.9670239596469105
45,True,AggregationRouterV3 - 0.7.6.hex,AggregationRouterV3 - 0.8.4.hex,AggregationRouterV3,AggregationRouterV3,1.0,86.41975308641975,0.9275,0.6423416198877305,0.9110464079862143
46,True,AggregationRouterV3 - 0.7.6.hex,AggregationRouterV3 - 0.6.12.hex,AggregationRouterV3,AggregationRouterV3,1.0,92.40506329113924,0.9987251402345741,0.6502820306204674,0.9996739910021517
47,True,AggregationRouterV3 - 0.8.4.hex,AggregationRouterV3 - 0.6.12.hex,AggregationRouterV3,AggregationRouterV3,1.0,80.0,0.9279590378661586,0.5645530939648586,0.911343514171965
48,True,CollateralManager - 0.5.16.hex,CollateralManager - 0.8.4.hex,CollateralManager,CollateralManager,1.0,58.22784810126582,0.9013077858880778,0.4639027877055039,0.8461666182391765
49,True,CollateralManager - 0.5.16.hex,CollateralManager - 0.7.6.hex,CollateralManager,CollateralManager,1.0,75.0,0.9915,0.5433308214016579,0.9984326786501445
50,True,CollateralManager - 0.5.16.hex,CollateralManager - 0.6.12.hex,CollateralManager,CollateralManager,1.0,78.125,0.9921581713522983,0.5468277945619335,0.9998528546203649
51,True,CollateralManager - 0.8.4.hex,CollateralManager - 0.7.6.hex,CollateralManager,CollateralManager,1.0,64.55696202531647,0.9032896740785866,0.5058823529411764,0.8474949151135279
52,True,CollateralManager - 0.8.4.hex,CollateralManager - 0.6.12.hex,CollateralManager,CollateralManager,1.0,64.55696202531647,0.9016293589157911,0.5249441548771407,0.8462911460711469
53,True,CollateralManager - 0.7.6.hex,CollateralManager - 0.6.12.hex,CollateralManager,CollateralManager,1.0,94.73684210526315,0.9969879518072289,0.7459505541346974,0.9985796150266935
0,False,UniswapV2Router02 - 0.8.4.hex,AddressResolver - 0.7.6.hex,UniswapV2Router02,AddressResolver,0.0,0.0,0.12246542231771183,0.0822239624119029,0.13269184672807588
1,False,UniswapV2Router02 - 0.8.4.hex,AddressResolver - 0.6.12.hex,UniswapV2Router02,AddressResolver,0.0,0.0,0.12246542231771183,0.0822239624119029,0.13269184672807588
2,False,UniswapV2Router02 - 0.8.4.hex,AddressResolver - 0.5.16.hex,UniswapV2Router02,AddressResolver,0.0,0.0,0.12454679736806767,0.0757459831675593,0.1406019929459302
