,isInner,id1,id2,raw bzJumpi02,raw bzJumpi04,raw bzJumpi08,raw bzJumpi16,skeletons bzJumpi02,skeletons bzJumpi04,skeletons bzJumpi08,skeletons bzJumpi16,fstSecSkel bzJumpi02,fstSecSkel bzJumpi04,fstSecSkel bzJumpi08,fstSecSkel bzJumpi16,fStat_V1 bzJumpi02,fStat_V1 bzJumpi04,fStat_V1 bzJumpi08,fStat_V1 bzJumpi16,fStat0V1 bzJumpi02,fStat0V1 bzJumpi04,fStat0V1 bzJumpi08,fStat0V1 bzJumpi16,fStat_V2 bzJumpi02,fStat_V2 bzJumpi04,fStat_V2 bzJumpi08,fStat_V2 bzJumpi16,fStat0V2 bzJumpi02,fStat0V2 bzJumpi04,fStat0V2 bzJumpi08,fStat0V2 bzJumpi16
isInner,1.0,-0.21132904898899554,0.10321288709732171,0.4350524777379527,0.45574533535006034,0.4789182736536577,0.47202317023141077,0.44311984947286,0.46404209512602557,0.4816836734050886,0.4699262826433898,0.4650615771901172,0.48535881628803557,0.4966879141790102,0.4797445627824987,0.4493563773989273,0.4620274700419207,0.4427047147538618,0.3644929915357131,0.4635709226058905,0.4870112971694853,0.5002328926294242,0.47278000897118716,0.449308307068342,0.4618961327973719,0.4424614763734468,0.364237061457559,0.4635709226058905,0.48702188480030084,0.5002459945590402,0.4727948473456724
id1,-0.21132904898899554,1.0,0.02091507797349084,-0.11096414348978688,-0.11385341384271792,-0.10760984375387132,-0.11639907596884956,-0.11179250005246584,-0.11094559644673652,-0.12238016025113306,-0.11785442244906859,-0.11691195621628306,-0.11359280980236273,-0.1261448840361945,-0.12517131255203556,-0.1106207425922625,-0.10046839251472474,-0.07103151949395342,-0.05587611542082454,-0.11560020139304401,-0.11750154129778566,-0.12352092821950407,-0.11178843901862419,-0.110645373249902,-0.10031707735653456,-0.07084175812398232,-0.05609814299943097,-0.11560020139304401,-0.11748291136019383,-0.12351082316274367,-0.11179640144650911
id2,0.10321288709732171,0.02091507797349084,1.0,0.005891485427135055,0.012145910360196126,0.012506899975262834,0.0006620408956316046,0.004871573552253302,0.014846225440922609,-0.0011109688584304378,0.01687097246954145,0.003953040523912063,0.015509684202928793,0.0023186573204237297,0.01919452244197168,0.00828906118972266,0.04052212122198556,0.08953639735499257,0.0903619240714048,0.006966634563966991,0.017542155986137998,0.010797639518080951,0.025398575073511894,0.008265748334310138,0.040470275780048456,0.089432833404362,0.0903107023278403,0.006966634563966991,0.01754057933953667,0.010788359168353545,0.025410215545098713
raw bzJumpi02,0.4350524777379527,-0.11096414348978688,0.005891485427135055,1.0,0.9163568440774055,0.8250432946133551,0.7475730735383515,0.9606326555117921,0.8993786421655935,0.8222091653211698,0.7198831214502935,0.8999351922982107,0.8598614995118404,0.7990352378571239,0.7019039373932789,0.8812796201005594,0.8477114981335878,0.725796891898476,0.6026658368414426,0.900550237496883,0.861806222114675,0.7880257340411874,0.714524812687484,0.8812680392932634,0.847610979528654,0.7256317215317827,0.6025535943123487,0.900550237496883,0.8618247519140615,0.7880120759644876,0.7145819888315816
raw bzJumpi04,0.45574533535006034,-0.11385341384271792,0.012145910360196126,0.9163568440774055,1.0,0.8690182545444296,0.7869528606361823,0.9058015318819592,0.9094363028560961,0.8367795679513742,0.7364315174170197,0.8640749125548108,0.8695867400159077,0.8137070645597543,0.7173781423434354,0.8499561971557257,0.8432358161257726,0.7340917860380648,0.6135967971860676,0.8635131120258859,0.8728873214258722,0.8028713237583436,0.7338410613769726,0.8499439729587952,0.8430770034237449,0.7339175386836154,0.6134575927530116,0.8635131120258859,0.8729159820557999,0.8028631843910351,0.7338748313246283
raw bzJumpi08,0.4789182736536577,-0.10760984375387132,0.012506899975262834,0.8250432946133551,0.8690182545444296,1.0,0.8507880283999606,0.821670004742039,0.8424051909052942,0.8273154429541417,0.7639803414600328,0.7999256260002389,0.8188868089537095,0.804776945809545,0.7408585357611671,0.7909961264723857,0.795281133596582,0.714844027831045,0.6101847134600346,0.7982640360815516,0.812897551266064,0.7997394305513618,0.7472147024845377,0.7910297477683855,0.7952206557973467,0.7145094956563707,0.6099528257190887,0.7982640360815516,0.8129221278848412,0.7997526561488939,0.7471015299392059
raw bzJumpi16,0.47202317023141077,-0.11639907596884956,0.0006620408956316046,0.7475730735383515,0.7869528606361823,0.8507880283999606,1.0,0.7476406165008268,0.7732934200951216,0.8016054410488074,0.7695415370886406,0.7360793762961109,0.7590693846834026,0.7791620432032306,0.7432339859713417,0.7250209185106103,0.7367654578141869,0.6842950418879289,0.5976790415700566,0.7329571024258343,0.752141832960776,0.7673324887754238,0.7473069566238618,0.7250378889524232,0.7367151967163913,0.6839979559664486,0.5974443309250893,0.7329571024258343,0.7521421078986993,0.767344741383215,0.7472052615609106
skeletons bzJumpi02,0.44311984947286,-0.11179250005246584,0.004871573552253302,0.9606326555117921,0.9058015318819592,0.821670004742039,0.7476406165008268,1.0,0.9120294309638369,0.8305925763517996,0.7249346489814413,0.923815854474089,0.8705843417434452,0.8067557661659299,0.7062171381227089,0.8926708111880766,0.8522720529097871,0.7277620815815357,0.6034210133777259,0.9166302674766721,0.8693905278605611,0.7936273859998204,0.7171982704588373,0.8926922742949791,0.8521885484672806,0.7275942425544635,0.6032915099119243,0.9166302674766721,0.8694042376785568,0.7936107909089455,0.7172413686695555
skeletons bzJumpi04,0.46404209512602557,-0.11094559644673652,0.014846225440922609,0.8993786421655935,0.9094363028560961,0.8424051909052942,0.7732934200951216,0.9120294309638369,1.0,0.8703567998509635,0.7591893856931603,0.8698212324549849,0.9160182907026372,0.8385592058069792,0.734041065588224,0.8525462156685636,0.8443609271399282,0.7380362256589349,0.6157266581474403,0.8677614523157263,0.8829251115867848,0.810988590985016,0.7423889777103062,0.8525647354430971,0.8442239000438767,0.7378147360309537,0.6155341841166464,0.8677614523157263,0.8829522814975387,0.8109687342957999,0.7423944258788068
skeletons bzJumpi08,0.4816836734050886,-0.12238016025113306,-0.0011109688584304378,0.8222091653211698,0.8367795679513742,0.8273154429541417,0.8016054410488074,0.8305925763517996,0.8703567998509635,1.0,0.8092767405147624,0.8091427763045372,0.8393496687078865,0.8992031609933591,0.7695493639708494,0.7927161861210718,0.7919847290137203,0.7129348981658485,0.607656702168381,0.805461142273479,0.8194649055033684,0.8272386986775807,0.7711037276250687,0.7926929024609046,0.7918781812454521,0.7126498422201849,0.6073917407072917,0.805461142273479,0.8194841066739388,0.8272455264020893,0.7710651645578701
