,isInner,id1,id2,group1,group2,raw ncd,raw lzjd32,raw lzjd64,raw lzjd128,raw lzjd256,raw lzjd512,raw lzjd1K,skel ncd,skel lzjd32,skel lzjd64,skel lzjd128,skel lzjd256,skel lzjd512,skel lzjd1K,fStat ncd,fStat lzjd32,fStat lzjd64,fStat lzjd128,fStat lzjd256,fStat lzjd512,fStat lzjd1K,fStat0 ncd,fStat0 lzjd32,fStat0 lzjd64,fStat0 lzjd128,fStat0 lzjd256,fStat0 lzjd512,fStat0 lzjd1K
0,False,DSToken - v0.7.6 abi2 o1 runs200,CollateralManagerState - v0.5.16 abi2 o1 runs200,DSToken,CollateralManagerState,0.09914529914529914,0.12280701754385964,0.14285714285714285,0.19069767441860466,0.17162471395881007,0.20470588235294118,0.20968694624926165,0.22036082474226804,0.28,0.26732673267326734,0.2549019607843137,0.30279898218829515,0.29784537389100124,0.3118856121537087,0.16233766233766234,0.20754716981132076,0.26732673267326734,0.3391304347826087,0.3391304347826087,0.3391304347826087,0.3391304347826087,0.152317880794702,0.28,0.30612244897959184,0.29949238578680204,0.28,0.3434343434343434,0.3434343434343434
1,False,DSToken - v0.7.6 abi2 o1 runs200,NonfungiblePositionManager - v0.5.16 abi2 o1 runs200,DSToken,NonfungiblePositionManager,0.03611714788368001,0.03225806451612903,0.03225806451612903,0.04065040650406504,0.05785123966942149,0.05785123966942149,0.05621454357916452,0.061933534743202415,0.06666666666666667,0.07563025210084033,0.10822510822510822,0.08936170212765958,0.07001044932079414,0.10577644411102775,0.06063947078280044,0.03225806451612903,0.03225806451612903,0.05699481865284974,0.1657142857142857,0.3972602739726027,0.5111111111111111,0.050520833333333334,0.0847457627118644,0.07563025210084033,0.07563025210084033,0.06224066390041494,0.11754068716094032,0.29831932773109243
2,False,DSToken - v0.7.6 abi2 o1 runs200,CollateralManagerState - v0.8.4 abi2 o1 runs200,DSToken,CollateralManagerState,0.11177884615384616,0.23076923076923078,0.23076923076923078,0.19069767441860466,0.20187793427230047,0.2205005959475566,0.23003003003003003,0.22036082474226804,0.28,0.26732673267326734,0.22488038277511962,0.2736318407960199,0.2848180677540778,0.3288201160541586,0.18181818181818182,0.16363636363636364,0.24271844660194175,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.3157894736842105,0.16556291390728478,0.3617021276595745,0.30612244897959184,0.2864321608040201,0.27680798004987534,0.35751295336787564,0.35751295336787564
3,False,DSToken - v0.7.6 abi2 o1 runs200,AddressResolver - v0.6.12 abi2 o1 runs200,DSToken,AddressResolver,0.1502403846153846,0.23076923076923078,0.24271844660194175,0.19069767441860466,0.17972350230414746,0.21040189125295508,0.28861154446177845,0.32989690721649484,0.23076923076923078,0.2549019607843137,0.20187793427230047,0.23671497584541062,0.24725943970767356,0.37073170731707317,0.3051948051948052,0.16363636363636364,0.21904761904761905,0.3220338983050847,0.3220338983050847,0.3220338983050847,0.3220338983050847,0.27483443708609273,0.23076923076923078,0.26732673267326734,0.23671497584541062,0.28690807799442897,0.36283185840707965,0.36283185840707965
4,False,DSToken - v0.7.6 abi2 o1 runs200,Synthetix - v0.6.12 abi2 o1 runs200,DSToken,Synthetix,0.06232151856206954,0.06666666666666667,0.0847457627118644,0.07112970711297072,0.07789473684210527,0.07450157397691501,0.0773277222514466,0.13122563880467736,0.06666666666666667,0.10344827586206896,0.11304347826086956,0.1010752688172043,0.09518716577540107,0.1515625,0.1141552511415525,0.04918032786885246,0.03225806451612903,0.06806282722513089,0.19298245614035087,0.34210526315789475,0.34210526315789475,0.0920920920920921,0.14285714285714285,0.10344827586206896,0.08016877637130802,0.0870488322717622,0.15947467166979362,0.4206896551724138
5,False,DSToken - v0.7.6 abi2 o1 runs200,BinaryOptionMarketManager - v0.5.16 abi2 o1 runs200,DSToken,BinaryOptionMarketManager,0.0384,0.0847457627118644,0.07563025210084033,0.08936170212765958,0.09401709401709402,0.08589607635206786,0.09401709401709402,0.10952600092038656,0.14285714285714285,0.15315315315315314,0.1277533039647577,0.11546840958605664,0.11425462459194777,0.18203688853247796,0.1075,0.0847457627118644,0.06666666666666667,0.1270718232044199,0.2911392405063291,0.36,0.36,0.0853932584269663,0.14285714285714285,0.11304347826086956,0.10822510822510822,0.11790393013100436,0.21653543307086615,0.4855769230769231
6,True,DSToken - v0.7.6 abi2 o1 runs200,DSToken - v0.6.12 abi2 o1 runs200,DSToken,DSToken,0.9627403846153846,0.7777777777777778,0.9692307692307692,0.924812030075188,0.9393939393939394,0.9467680608365019,0.9616858237547893,0.9716494845360825,1.0,1.0,1.0,1.0,1.0,1.0,0.9675324675324676,1.0,1.0,1.0,1.0,1.0,1.0,0.9271523178807947,1.0,1.0,1.0,1.0,1.0,1.0
7,False,DSToken - v0.7.6 abi2 o1 runs200,AggregationRouterV3 - v0.8.4 abi2 o1 runs200,DSToken,AggregationRouterV3,0.06543624161073826,0.0847457627118644,0.09401709401709402,0.09401709401709402,0.09168443496801706,0.0847457627118644,0.10226049515608181,0.11437613019891502,0.12280701754385964,0.14285714285714285,0.13274336283185842,0.10344827586206896,0.13399778516057587,0.18679549114331723,0.1038961038961039,0.06666666666666667,0.04918032786885246,0.0967741935483871,0.275,0.3076923076923077,0.3076923076923077,0.08879492600422834,0.16363636363636364,0.13274336283185842,0.11304347826086956,0.13274336283185842,0.25609756097560976,0.4372093023255814
8,False,DSToken - v0.7.6 abi2 o1 runs200,UniswapV2Router02 - v0.8.4 abi2 o1 runs200,DSToken,UniswapV2Router02,0.04721621089907535,0.0847457627118644,0.07563025210084033,0.08016877637130802,0.07563025210084033,0.07563025210084033,0.07903055848261328,0.08741522230595328,0.04918032786885246,0.12280701754385964,0.11790393013100436,0.09401709401709402,0.08820403825717323,0.12605042016806722,0.0711864406779661,0.06666666666666667,0.04918032786885246,0.06806282722513089,0.19298245614035087,0.43661971830985913,0.43661971830985913,0.06963087248322147,0.0847457627118644,0.0847457627118644,0.07112970711297072,0.06444906444906445,0.13602941176470587,0.38565022421524664
9,False,DSToken - v0.7.6 abi2 o1 runs200,NonfungiblePositionManager - v0.7.6 abi2 o1 runs200,DSToken,NonfungiblePositionManager,0.04236732911115964,0.03225806451612903,0.04065040650406504,0.05785123966942149,0.06224066390041494,0.06224066390041494,0.06279190451478983,0.06741339970960382,0.10344827586206896,0.10344827586206896,0.11304347826086956,0.09401709401709402,0.07450157397691501,0.10993975903614457,0.05997818974918211,0.04918032786885246,0.04065040650406504,0.05699481865284974,0.1590909090909091,0.3877551020408163,0.5,0.050100200400801605,0.0847457627118644,0.06666666666666667,0.06666666666666667,0.05567010309278351,0.11351351351351352,0.30105263157894735
10,False,DSToken - v0.7.6 abi2 o1 runs200,BinaryOptionMarketManager - v0.6.12 abi2 o1 runs200,DSToken,BinaryOptionMarketManager,0.052492447129909366,0.06666666666666667,0.0847457627118644,0.09401709401709402,0.10344827586206896,0.08936170212765958,0.09635974304068523,0.1303370786516854,0.16363636363636364,0.19626168224299065,0.1689497716894977,0.13777777777777778,0.1415830546265329,0.20326530612244897,0.12244897959183673,0.10344827586206896,0.0847457627118644,0.13333333333333333,0.3161290322580645,0.36,0.36,0.0903954802259887,0.16363636363636364,0.11304347826086956,0.10344827586206896,0.11790393013100436,0.21893491124260356,0.4679334916864608
11,False,DSToken - v0.7.6 abi2 o1 runs200,AggregationRouterV3 - v0.6.12 abi2 o1 runs200,DSToken,AggregationRouterV3,0.06371124031007752,0.0847457627118644,0.10344827586206896,0.11304347826086956,0.12035010940919037,0.09871244635193133,0.11851447296559257,0.12150389729481889,0.14285714285714285,0.1743119266055046,0.13777777777777778,0.11546840958605664,0.1277533039647577,0.18488745980707397,0.1130820399113082,0.0847457627118644,0.06666666666666667,0.10869565217391304,0.275,0.2911392405063291,0.2911392405063291,0.08955223880597014,0.14285714285714285,0.12280701754385964,0.10344827586206896,0.12280701754385964,0.2768595041322314,0.45754716981132076
12,False,DSToken - v0.7.6 abi2 o1 runs200,Synthetix - v0.7.6 abi2 o1 runs200,DSToken,Synthetix,0.06495898208605391,0.06666666666666667,0.06666666666666667,0.08016877637130802,0.08016877637130802,0.07789473684210527,0.08417151932239281,0.13398972602739725,0.0847457627118644,0.12280701754385964,0.1277533039647577,0.10583153347732181,0.09635974304068523,0.156078431372549,0.1050228310502283,0.04918032786885246,0.04065040650406504,0.06806282722513089,0.20710059171597633,0.36,0.36,0.09028459273797841,0.12280701754385964,0.10344827586206896,0.08936170212765958,0.0847457627118644,0.15514018691588785,0.40454545454545454
13,False,DSToken - v0.7.6 abi2 o1 runs200,Synthetix - v0.5.16 abi2 o1 runs200,DSToken,Synthetix,0.04059216809933142,0.10344827586206896,0.0847457627118644,0.06666666666666667,0.06666666666666667,0.060041407867494824,0.06611140031233732,0.10338680926916222,0.06666666666666667,0.09401709401709402,0.11304347826086956,0.09401709401709402,0.0835978835978836,0.143522110162917,0.10250569476082004,0.04918032786885246,0.03225806451612903,0.06806282722513089,0.20710059171597633,0.3333333333333333,0.3333333333333333,0.08366935483870967,0.14285714285714285,0.09401709401709402,0.0847457627118644,0.07337526205450734,0.14869888475836432,0.3825503355704698
14,False,DSToken - v0.7.6 abi2 o1 runs200,CollateralManager - v0.8.4 abi2 o1 runs200,DSToken,CollateralManager,0.04581638068282328,0.04918032786885246,0.05785123966942149,0.08016877637130802,0.07563025210084033,0.07563025210084033,0.08073878627968338,0.10327552986512524,0.06666666666666667,0.10344827586206896,0.11790393013100436,0.10344827586206896,0.10822510822510822,0.156078431372549,0.09881422924901186,0.06666666666666667,0.04065040650406504,0.07368421052631578,0.2215568862275449,0.3509933774834437,0.3509933774834437,0.07970342910101946,0.12280701754385964,0.10344827586206896,0.09401709401709402,0.09168443496801706,0.17938931297709923,0.4439252336448598
15,False,DSToken - v0.7.6 abi2 o1 runs200,NonfungiblePositionManager - v0.8.4 abi2 o1 runs200,DSToken,NonfungiblePositionManager,0.04416270470153196,0.015873015873015872,0.04918032786885246,0.06224066390041494,0.060041407867494824,0.05675954592363261,0.05621454357916452,0.0640533441099212,0.06666666666666667,0.07563025210084033,0.08936170212765958,0.08936170212765958,0.06889352818371608,0.1024682124158564,0.05913978494623656,0.04918032786885246,0.05785123966942149,0.05699481865284974,0.1724137931034483,0.3972602739726027,0.5223880597014925,0.05237395986294665,0.10344827586206896,0.0847457627118644,0.07563025210084033,0.06444906444906445,0.12159709618874773,0.29831932773109243
16,True,DSToken - v0.7.6 abi2 o1 runs200,DSToken - v0.8.4 abi2 o1 runs200,DSToken,DSToken,0.5715144230769231,0.3617021276595745,0.391304347826087,0.3689839572192513,0.391304347826087,0.40852819807427787,0.41534208707671044,0.735,0.45454545454545453,0.5058823529411764,0.45454545454545453,0.49271137026239065,0.514792899408284,0.5402298850574713,0.660377358490566,0.3333333333333333,0.4222222222222222,0.48905109489051096,0.48905109489051096,0.48905109489051096,0.48905109489051096,0.6349206349206349,0.4883720930232558,0.5238095238095238,0.5515151515151515,0.5283582089552239,0.545,0.545
