op,dec,hex,min,max,mean,sd,f-stat
SAR, 29,0x1d,0,0,0.0,0.0,nan
MISSING, 30,0x1e,0,0,0.0,0.0,nan
MISSING, 31,0x1f,0,0,0.0,0.0,nan
MISSING, 33,0x21,0,0,0.0,0.0,nan
MISSING, 34,0x22,0,0,0.0,0.0,nan
MISSING, 36,0x24,0,0,0.0,0.0,nan
MISSING, 37,0x25,0,0,0.0,0.0,nan
MISSING, 45,0x2d,0,0,0.0,0.0,nan
EXTCODECOPY, 60,0x3c,0,0,0.0,0.0,nan
MISSING, 72,0x48,0,0,0.0,0.0,nan
MISSING, 74,0x4a,0,0,0.0,0.0,nan
MISSING, 92,0x5c,0,0,0.0,0.0,nan
MISSING, 93,0x5d,0,0,0.0,0.0,nan
MISSING, 94,0x5e,0,0,0.0,0.0,nan
PUSH30,125,0x7d,0,0,0.0,0.0,nan
LOG0,160,0xa0,0,0,0.0,0.0,nan
MISSING,165,0xa5,0,0,0.0,0.0,nan
MISSING,166,0xa6,0,0,0.0,0.0,nan
MISSING,167,0xa7,0,0,0.0,0.0,nan
MISSING,168,0xa8,0,0,0.0,0.0,nan
MISSING,169,0xa9,0,0,0.0,0.0,nan
MISSING,170,0xaa,0,0,0.0,0.0,nan
MISSING,171,0xab,0,0,0.0,0.0,nan
MISSING,172,0xac,0,0,0.0,0.0,nan
MISSING,174,0xae,0,0,0.0,0.0,nan
MISSING,175,0xaf,0,0,0.0,0.0,nan
MISSING,176,0xb0,0,0,0.0,0.0,nan
MISSING,177,0xb1,0,0,0.0,0.0,nan
MISSING,178,0xb2,0,0,0.0,0.0,nan
MISSING,180,0xb4,0,0,0.0,0.0,nan
MISSING,181,0xb5,0,0,0.0,0.0,nan
MISSING,182,0xb6,0,0,0.0,0.0,nan
MISSING,183,0xb7,0,0,0.0,0.0,nan
MISSING,184,0xb8,0,0,0.0,0.0,nan
MISSING,185,0xb9,0,0,0.0,0.0,nan
MISSING,186,0xba,0,0,0.0,0.0,nan
MISSING,187,0xbb,0,0,0.0,0.0,nan
MISSING,188,0xbc,0,0,0.0,0.0,nan
MISSING,189,0xbd,0,0,0.0,0.0,nan
MISSING,190,0xbe,0,0,0.0,0.0,nan
MISSING,192,0xc0,0,0,0.0,0.0,nan
MISSING,193,0xc1,0,0,0.0,0.0,nan
MISSING,194,0xc2,0,0,0.0,0.0,nan
MISSING,196,0xc4,0,0,0.0,0.0,nan
MISSING,197,0xc5,0,0,0.0,0.0,nan
