op,dec,hex,count,percent
MISSING,169,0xa9,      1,0.00%
MISSING,170,0xaa,      1,0.00%
MISSING,172,0xac,      1,0.00%
MISSING,174,0xae,      1,0.00%
MISSING,177,0xb1,      1,0.00%
MISSING,202,0xca,      1,0.00%
MISSING,213,0xd5,      1,0.00%
MISSING,216,0xd8,      1,0.00%
MISSING,229,0xe5,      1,0.00%
MISSING,235,0xeb,      1,0.00%
SMOD,  7,0x07,      0,0.00%
MISSING, 12,0x0c,      0,0.00%
MISSING, 13,0x0d,      0,0.00%
MISSING, 14,0x0e,      0,0.00%
SAR, 29,0x1d,      0,0.00%
MISSING, 33,0x21,      0,0.00%
MISSING, 34,0x22,      0,0.00%
MISSING, 40,0x28,      0,0.00%
MISSING, 41,0x29,      0,0.00%
LOG0,160,0xa0,      0,0.00%
MISSING,168,0xa8,      0,0.00%
MISSING,171,0xab,      0,0.00%
MISSING,176,0xb0,      0,0.00%
MISSING,185,0xb9,      0,0.00%
MISSING,192,0xc0,      0,0.00%
MISSING,196,0xc4,      0,0.00%
MISSING,197,0xc5,      0,0.00%
MISSING,204,0xcc,      0,0.00%
MISSING,205,0xcd,      0,0.00%
MISSING,206,0xce,      0,0.00%
MISSING,207,0xcf,      0,0.00%
MISSING,214,0xd6,      0,0.00%
MISSING,225,0xe1,      0,0.00%
MISSING,233,0xe9,      0,0.00%
MISSING,234,0xea,      0,0.00%
MISSING,248,0xf8,      0,0.00%
MISSING,249,0xf9,      0,0.00%
