,isInner,id1,id2,group1,group2,raw bzJumpi2,raw bzJumpi4,raw bzJumpi8,raw bzFixedLen32_2,raw bzFixedLen64_2,raw bzFixedLen128_2,raw bzFixedLen256_2,raw bzFixedLen256_4,raw bzFixedLen64_8,raw bzFixedLen256_8,raw bzFixedLen1024_8,skel bzJumpi2,skel bzJumpi4,skel bzJumpi8,skel bzFixedLen32_2,skel bzFixedLen64_2,skel bzFixedLen128_2,skel bzFixedLen256_2,skel bzFixedLen256_4,skel bzFixedLen64_8,skel bzFixedLen256_8,skel bzFixedLen1024_8
0,True,CollateralManagerState - v0.8.4 abi2 o1 runs200,CollateralManagerState - v0.8.4 abi2 o0 runs200,CollateralManagerState,CollateralManagerState,0.9452054794520548,0.8493150684931507,0.7808219178082192,0.4636363636363636,0.4545454545454546,0.4545454545454546,0.5,0.2857142857142857,0.3090909090909091,0.1785714285714286,0.2857142857142857,0.9420289855072463,0.8985507246376812,0.782608695652174,0.4703196347031964,0.4727272727272728,0.49090909090909096,0.5,0.4285714285714286,0.2727272727272727,0.3928571428571429,0.1428571428571429
1,False,CollateralManagerState - v0.8.4 abi2 o1 runs200,CollateralManager - v0.8.4 abi2 o0 runs200,CollateralManagerState,CollateralManager,0.20461095100864557,0.13832853025936598,0.05475504322766567,0.14304635761589402,0.1428571428571429,0.1428571428571429,0.1473684210526316,0.13684210526315788,0.13756613756613756,0.11578947368421055,0.125,0.20496894409937894,0.20496894409937894,0.1708074534161491,0.14077025232403717,0.14058355437665782,0.1428571428571429,0.1473684210526316,0.1473684210526316,0.11936339522546424,0.11578947368421055,0.04166666666666663
2,False,CollateralManagerState - v0.8.4 abi2 o1 runs200,AggregationRouterV3 - v0.8.4 abi2 o1 runs200,CollateralManagerState,AggregationRouterV3,0.4242424242424242,0.19999999999999996,0.16969696969696968,0.3711340206185567,0.36986301369863017,0.36986301369863017,0.3783783783783784,0.32432432432432434,0.26027397260273977,0.2702702702702703,0.4,0.4125,0.19999999999999996,0.16874999999999996,0.3667820069204152,0.3655172413793103,0.36986301369863017,0.3783783783783784,0.3513513513513513,0.2689655172413793,0.2702702702702703,0.09999999999999998
3,False,CollateralManagerState - v0.8.4 abi2 o1 runs200,UniswapV2Router02 - v0.8.4 abi2 o1 runs200,CollateralManagerState,UniswapV2Router02,0.24149659863945583,0.1428571428571429,0.12585034013605445,0.19494584837545126,0.19494584837545126,0.19424460431654678,0.19999999999999996,0.19999999999999996,0.1732851985559567,0.17142857142857137,0.2222222222222222,0.22525597269624575,0.07508532423208192,0.07508532423208192,0.19202898550724634,0.19202898550724634,0.19565217391304346,0.2028985507246377,0.2028985507246377,0.18478260869565222,0.14492753623188404,0.11111111111111116
4,False,CollateralManagerState - v0.8.4 abi2 o1 runs200,NonfungiblePositionManager - v0.8.4 abi2 o0 runs200,CollateralManagerState,NonfungiblePositionManager,0.18489583333333337,0.12760416666666663,0.11458333333333337,0.08674698795180724,0.086677367576244,0.08653846153846156,0.08974358974358976,0.08974358974358976,0.086677367576244,0.08333333333333337,0.10256410256410253,0.18384401114206128,0.10306406685236769,0.09470752089136492,0.08520900321543412,0.08520900321543412,0.08681672025723475,0.08974358974358976,0.08974358974358976,0.0836012861736335,0.08333333333333337,0.07692307692307687
5,False,CollateralManagerState - v0.8.4 abi2 o1 runs200,AggregationRouterV3 - v0.8.4 abi2 o0 runs200,CollateralManagerState,AggregationRouterV3,0.36094674556213013,0.16568047337278102,0.15384615384615385,0.20454545454545459,0.20454545454545459,0.20454545454545459,0.21212121212121215,0.19696969696969702,0.1742424242424242,0.13636363636363635,0.23529411764705888,0.35757575757575755,0.1575757575757576,0.1333333333333333,0.20152091254752846,0.20152091254752846,0.20454545454545459,0.21212121212121215,0.18181818181818177,0.17490494296577952,0.18181818181818177,0.23529411764705888
6,False,CollateralManagerState - v0.8.4 abi2 o1 runs200,CollateralManager - v0.8.4 abi2 o1 runs200,CollateralManagerState,CollateralManager,0.23051948051948057,0.2272727272727273,0.20454545454545459,0.23529411764705888,0.23478260869565215,0.23478260869565215,0.24137931034482762,0.22413793103448276,0.20434782608695656,0.1724137931034483,0.2666666666666667,0.2214765100671141,0.2214765100671141,0.18791946308724827,0.2319474835886215,0.23144104803493448,0.23478260869565215,0.24137931034482762,0.24137931034482762,0.20087336244541487,0.2068965517241379,0.1333333333333333
7,False,CollateralManagerState - v0.8.4 abi2 o1 runs200,UniswapV2Router02 - v0.8.4 abi2 o0 runs200,CollateralManagerState,UniswapV2Router02,0.19293478260869568,0.13043478260869568,0.09510869565217395,0.11803278688524588,0.11790393013100442,0.11790393013100442,0.12173913043478257,0.12173913043478257,0.11790393013100442,0.12173913043478257,0.10344827586206895,0.2024539877300614,0.06748466257668717,0.05521472392638038,0.11610076670317637,0.11597374179431075,0.11790393013100442,0.12173913043478257,0.12173913043478257,0.11378555798687084,0.12173913043478257,0.10344827586206895
8,False,CollateralManagerState - v0.8.4 abi2 o1 runs200,NonfungiblePositionManager - v0.8.4 abi2 o1 runs200,CollateralManagerState,NonfungiblePositionManager,0.1977715877437326,0.14206128133704732,0.11977715877437323,0.1473396998635743,0.14713896457765663,0.1467391304347826,0.15217391304347827,0.15217391304347827,0.14713896457765663,0.14130434782608692,0.17391304347826086,0.19130434782608696,0.12463768115942031,0.09275362318840574,0.1450068399452804,0.14480874316939896,0.14754098360655743,0.15217391304347827,0.15217391304347827,0.139344262295082,0.15217391304347827,0.13043478260869568
9,False,CollateralManagerState - v0.8.4 abi2 o1 runs200,Synthetix - v0.8.4 abi2 o0 runs200,CollateralManagerState,Synthetix,0.1775,0.125,0.12,0.11600429645542432,0.11587982832618027,0.11587982832618027,0.11965811965811968,0.11111111111111116,0.11587982832618027,0.10256410256410253,0.1333333333333333,0.20625000000000004,0.20625000000000004,0.16249999999999998,0.11397849462365595,0.11397849462365595,0.11587982832618027,0.11965811965811968,0.11965811965811968,0.09892473118279566,0.11111111111111116,0.09999999999999998
