,isInner,id1,id2,group1,group2,raw bzJumpi2,raw bzJumpi4,raw bzJumpi8,raw bzFixedLen32_2,raw bzFixedLen64_2,raw bzFixedLen128_2,raw bzFixedLen256_2,raw bzFixedLen256_4,raw bzFixedLen64_8,raw bzFixedLen256_8,raw bzFixedLen1024_8,skel bzJumpi2,skel bzJumpi4,skel bzJumpi8,skel bzFixedLen32_2,skel bzFixedLen64_2,skel bzFixedLen128_2,skel bzFixedLen256_2,skel bzFixedLen256_4,skel bzFixedLen64_8,skel bzFixedLen256_8,skel bzFixedLen1024_8
0,False,DSToken - v0.7.6 abi2 o1 runs200,CollateralManagerState - v0.5.16 abi2 o1 runs200,DSToken,CollateralManagerState,0.8193548387096774,0.6451612903225806,0.5806451612903225,0.8521739130434782,0.8608695652173913,0.8275862068965517,0.7931034482758621,0.7586206896551724,0.6695652173913044,0.6896551724137931,0.625,0.8120805369127517,0.5906040268456376,0.5570469798657718,0.8193832599118943,0.8596491228070176,0.8771929824561404,0.8620689655172413,0.7241379310344828,0.5964912280701755,0.6551724137931034,0.625
1,False,DSToken - v0.7.6 abi2 o1 runs200,NonfungiblePositionManager - v0.5.16 abi2 o1 runs200,DSToken,NonfungiblePositionManager,0.3926940639269406,0.3904109589041096,0.3356164383561644,0.2542565266742338,0.25396825396825395,0.25339366515837103,0.25225225225225223,0.2432432432432432,0.24716553287981857,0.23423423423423428,0.27586206896551724,0.412621359223301,0.4101941747572816,0.3713592233009708,0.25284738041002275,0.2545454545454545,0.2545454545454545,0.2545454545454545,0.2545454545454545,0.24545454545454548,0.23636363636363633,0.25
2,False,DSToken - v0.7.6 abi2 o1 runs200,CollateralManagerState - v0.8.4 abi2 o1 runs200,DSToken,CollateralManagerState,0.8343949044585988,0.6433121019108281,0.5987261146496815,0.8363636363636364,0.8454545454545455,0.8363636363636364,0.8214285714285714,0.6785714285714286,0.6545454545454545,0.5714285714285714,0.75,0.8278145695364238,0.5960264900662251,0.5496688741721854,0.8617511520737327,0.8807339449541285,0.8909090909090909,0.9285714285714286,0.6428571428571428,0.6880733944954128,0.5714285714285714,0.5
3,False,DSToken - v0.7.6 abi2 o1 runs200,AddressResolver - v0.6.12 abi2 o1 runs200,DSToken,AddressResolver,0.7173913043478262,0.6884057971014492,0.6376811594202898,0.7801047120418848,0.7291666666666667,0.75,0.75,0.6666666666666667,0.59375,0.5833333333333333,0.4285714285714286,0.7037037037037037,0.6592592592592592,0.6148148148148148,0.75,0.7578947368421053,0.7708333333333334,0.75,0.7083333333333333,0.6105263157894737,0.625,0.5714285714285714
4,False,DSToken - v0.7.6 abi2 o1 runs200,Synthetix - v0.6.12 abi2 o1 runs200,DSToken,Synthetix,0.49425287356321834,0.4568965517241379,0.4367816091954023,0.36721311475409835,0.36721311475409835,0.36601307189542487,0.36363636363636365,0.35064935064935066,0.33114754098360655,0.3116883116883117,0.4,0.5014749262536873,0.4690265486725663,0.44837758112094395,0.36573311367380557,0.368421052631579,0.368421052631579,0.368421052631579,0.3421052631578947,0.3388157894736842,0.3421052631578947,0.35
5,False,DSToken - v0.7.6 abi2 o1 runs200,BinaryOptionMarketManager - v0.5.16 abi2 o1 runs200,DSToken,BinaryOptionMarketManager,0.5714285714285714,0.5548172757475083,0.5116279069767442,0.4234404536862004,0.4226415094339623,0.42105263157894735,0.417910447761194,0.3731343283582089,0.3735849056603774,0.35820895522388063,0.4444444444444444,0.5964912280701755,0.5789473684210527,0.5473684210526315,0.4228571428571428,0.42585551330798477,0.4242424242424242,0.4242424242424242,0.40909090909090906,0.38783269961977185,0.40909090909090906,0.4117647058823529
6,True,DSToken - v0.7.6 abi2 o1 runs200,DSToken - v0.6.12 abi2 o1 runs200,DSToken,DSToken,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,False,DSToken - v0.7.6 abi2 o1 runs200,AggregationRouterV3 - v0.8.4 abi2 o1 runs200,DSToken,AggregationRouterV3,0.6772908366533865,0.601593625498008,0.5378486055776892,0.5558312655086849,0.5495049504950495,0.5445544554455446,0.5490196078431373,0.4901960784313726,0.4653465346534653,0.43137254901960786,0.5714285714285714,0.6816326530612244,0.6081632653061224,0.5265306122448979,0.5549999999999999,0.5572139303482587,0.5544554455445545,0.5490196078431373,0.5098039215686274,0.48756218905472637,0.43137254901960786,0.4285714285714286
8,False,DSToken - v0.7.6 abi2 o1 runs200,UniswapV2Router02 - v0.8.4 abi2 o1 runs200,DSToken,UniswapV2Router02,0.4526315789473684,0.4342105263157895,0.4,0.3363363363363363,0.3363363363363363,0.33532934131736525,0.33333333333333337,0.33333333333333337,0.3063063063063063,0.3214285714285714,0.36363636363636365,0.44973544973544977,0.42592592592592593,0.40476190476190477,0.33484162895927605,0.3373493975903614,0.3373493975903614,0.3373493975903614,0.3373493975903614,0.3192771084337349,0.3132530120481928,0.31818181818181823
9,False,DSToken - v0.7.6 abi2 o1 runs200,NonfungiblePositionManager - v0.7.6 abi2 o1 runs200,DSToken,NonfungiblePositionManager,0.3659574468085106,0.28297872340425534,0.2808510638297872,0.2725060827250608,0.2725060827250608,0.27184466019417475,0.27184466019417475,0.2621359223300971,0.26034063260340634,0.24271844660194175,0.2962962962962963,0.40669856459330145,0.40669856459330145,0.3588516746411483,0.2710622710622711,0.2731707317073171,0.2731707317073171,0.27184466019417475,0.27184466019417475,0.2707317073170732,0.27184466019417475,0.2592592592592593
