                           isInner  ppdeep-significantAndZero  ppdeep-significantOnly  ppdeep-skeleton  byteBag-significantOnly  byteBag-skeleton  lzjd1-significantAndZero  lzjd1-significantOnly  lzjd1-skeleton
isInner                        1.0                        NaN                     NaN              NaN                      NaN               NaN                       NaN                    NaN             NaN
ppdeep-significantAndZero      NaN                   1.000000                0.371812         0.177545                 0.415004          0.497222                  0.454627               0.316758        0.328735
ppdeep-significantOnly         NaN                   0.371812                1.000000         0.205443                 0.449068          0.389186                  0.269131               0.306391        0.250309
ppdeep-skeleton                NaN                   0.177545                0.205443         1.000000                 0.332735          0.329697                  0.236945               0.273696        0.559336
byteBag-significantOnly        NaN                   0.415004                0.449068         0.332735                 1.000000          0.462341                  0.279340               0.560428        0.506740
byteBag-skeleton               NaN                   0.497222                0.389186         0.329697                 0.462341          1.000000                  0.523991               0.327048        0.520137
lzjd1-significantAndZero       NaN                   0.454627                0.269131         0.236945                 0.279340          0.523991                  1.000000               0.322301        0.370424
lzjd1-significantOnly          NaN                   0.316758                0.306391         0.273696                 0.560428          0.327048                  0.322301               1.000000        0.443044
lzjd1-skeleton                 NaN                   0.328735                0.250309         0.559336                 0.506740          0.520137                  0.370424               0.443044        1.000000
