,isInner,id1,id2,group1,group2,ppdeep-significantAndZero,ppdeep-significantOnly,ppdeep-skeleton,byteBag-significantOnly,byteBag-skeleton,lzjd1-significantAndZero,lzjd1-significantOnly,lzjd1-skeleton
0,False,UniswapV2Router02 - 0.8.4.hex,DSToken - 0.7.6.hex,UniswapV2Router02,DSToken,38.144329896907216,16.438356164383563,13.698630136986296,0.2047556142668428,0.19135720010686616,0.32790224032586557,0.22758620689655173,0.07231638418079096
1,False,UniswapV2Router02 - 0.8.4.hex,DSToken - 0.6.12.hex,UniswapV2Router02,DSToken,38.144329896907216,16.438356164383563,13.698630136986296,0.2047556142668428,0.19135720010686616,0.32790224032586557,0.22758620689655173,0.07231638418079096
2,False,UniswapV2Router02 - 0.8.4.hex,DSToken - 0.8.4.hex,UniswapV2Router02,DSToken,38.144329896907216,0.0,19.736842105263165,0.20572207084468666,0.22118025319847276,0.3905191873589165,0.23529411764705882,0.10048361096184846
3,False,UniswapV2Router02 - 0.8.4.hex,DSToken - 0.5.16.hex,UniswapV2Router02,DSToken,38.144329896907216,16.438356164383563,13.698630136986296,0.2047556142668428,0.19236162115243374,0.3226452905811623,0.22758620689655173,0.07298050139275766
4,False,UniswapV2Router02 - 0.7.6.hex,DSToken - 0.7.6.hex,UniswapV2Router02,DSToken,48.97959183673469,15.49295774647888,15.06849315068493,0.22485207100591717,0.20846745976207137,0.49885057471264366,0.424,0.09901563404748118
5,False,UniswapV2Router02 - 0.7.6.hex,DSToken - 0.6.12.hex,UniswapV2Router02,DSToken,48.97959183673469,15.49295774647888,15.06849315068493,0.22485207100591717,0.20846745976207137,0.49885057471264366,0.424,0.09901563404748118
6,False,UniswapV2Router02 - 0.7.6.hex,DSToken - 0.8.4.hex,UniswapV2Router02,DSToken,51.02040816326531,0.0,19.736842105263165,0.19822485207100593,0.23319137052293515,0.4426229508196721,0.3125,0.07619548081975827
7,False,UniswapV2Router02 - 0.7.6.hex,DSToken - 0.5.16.hex,UniswapV2Router02,DSToken,51.02040816326531,15.49295774647888,16.438356164383563,0.22485207100591717,0.20985235462878735,0.4965986394557823,0.424,0.09931506849315068
8,False,UniswapV2Router02 - 0.6.12.hex,DSToken - 0.7.6.hex,UniswapV2Router02,DSToken,48.97959183673469,15.49295774647888,15.06849315068493,0.22485207100591717,0.20846745976207137,0.49885057471264366,0.424,0.10028985507246377
9,False,UniswapV2Router02 - 0.6.12.hex,DSToken - 0.6.12.hex,UniswapV2Router02,DSToken,48.97959183673469,15.49295774647888,15.06849315068493,0.22485207100591717,0.20846745976207137,0.49885057471264366,0.424,0.10028985507246377
10,False,UniswapV2Router02 - 0.6.12.hex,DSToken - 0.8.4.hex,UniswapV2Router02,DSToken,51.02040816326531,0.0,19.736842105263165,0.19822485207100593,0.23319137052293515,0.4426229508196721,0.3125,0.07619548081975827
11,False,UniswapV2Router02 - 0.6.12.hex,DSToken - 0.5.16.hex,UniswapV2Router02,DSToken,51.02040816326531,15.49295774647888,16.438356164383563,0.22485207100591717,0.20985235462878735,0.4965986394557823,0.424,0.09994288977727013
12,False,UniswapV2Router02 - 0.5.16.hex,DSToken - 0.7.6.hex,UniswapV2Router02,DSToken,48.97959183673469,16.949152542372886,16.438356164383563,0.22421948912015138,0.20250353321219464,0.5560859188544153,0.4015748031496063,0.10028985507246377
13,False,UniswapV2Router02 - 0.5.16.hex,DSToken - 0.6.12.hex,UniswapV2Router02,DSToken,48.97959183673469,16.949152542372886,16.438356164383563,0.22421948912015138,0.20250353321219464,0.5560859188544153,0.4015748031496063,0.10028985507246377
14,False,UniswapV2Router02 - 0.5.16.hex,DSToken - 0.8.4.hex,UniswapV2Router02,DSToken,51.02040816326531,0.0,19.736842105263165,0.1986754966887417,0.22621365742295038,0.4807692307692308,0.3125,0.08188061278394083
15,False,UniswapV2Router02 - 0.5.16.hex,DSToken - 0.5.16.hex,UniswapV2Router02,DSToken,51.02040816326531,16.949152542372886,15.06849315068493,0.22421948912015138,0.20383580080753702,0.5529411764705883,0.4015748031496063,0.10499139414802065
16,False,UniswapV2Router02 - 0.8.4.hex,NonfungiblePositionManager - 0.6.12.hex,UniswapV2Router02,NonfungiblePositionManager,0.0,53.521126760563384,37.142857142857146,0.5230460921843687,0.6922555663117135,0.47310647639956094,0.32786885245901637,0.244228432563791
17,False,UniswapV2Router02 - 0.8.4.hex,NonfungiblePositionManager - 0.7.6.hex,UniswapV2Router02,NonfungiblePositionManager,0.0,53.521126760563384,36.61971830985915,0.5195195195195195,0.6959653477393294,0.4779735682819383,0.32786885245901637,0.23895946763460374
18,False,UniswapV2Router02 - 0.8.4.hex,NonfungiblePositionManager - 0.5.16.hex,UniswapV2Router02,NonfungiblePositionManager,0.0,53.42465753424658,34.28571428571429,0.5152709359605911,0.6767241379310345,0.47634763476347636,0.3224489795918367,0.22268656716417912
19,False,UniswapV2Router02 - 0.8.4.hex,NonfungiblePositionManager - 0.8.4.hex,UniswapV2Router02,NonfungiblePositionManager,0.0,55.072463768115945,35.21126760563381,0.5436991869918699,0.6582022265157789,0.48451327433628316,0.32786885245901637,0.26811145510835915
20,False,UniswapV2Router02 - 0.7.6.hex,NonfungiblePositionManager - 0.6.12.hex,UniswapV2Router02,NonfungiblePositionManager,0.0,48.57142857142857,36.231884057971016,0.5163934426229508,0.6047216908505576,0.2880168185003504,0.21890547263681592,0.14541387024608501
