,isInner,id1,id2,group1,group2,ppdeep-significantAndZero,ppdeep-significantOnly,ppdeep-skeleton,byteBag-significantOnly,byteBag-skeleton,lzjd1-significantAndZero,lzjd1-significantOnly,lzjd1-skeleton
0,True,CollateralManager - 1 0.5.16.hex,CollateralManager - no 0.5.16.hex,CollateralManager,CollateralManager,64.0625,63.38028169014085,50.0,0.8115942028985508,0.7147570733316836,0.5081967213114754,0.5317073170731708,0.2626387176325524
1,True,CollateralManager - 1 0.5.16.hex,CollateralManager - 1 0.7.6.hex,CollateralManager,CollateralManager,88.28125,95.5223880597015,83.59375,0.9601386481802426,0.9193745148053677,0.5839311334289814,0.5778894472361809,0.45557924662402277
2,True,CollateralManager - 1 0.5.16.hex,CollateralManager - 999999 0.5.16.hex,CollateralManager,CollateralManager,73.4375,100.0,73.4375,1.0,0.9171812968681077,0.5227586206896552,1.0,0.4597291518175339
3,True,CollateralManager - 1 0.5.16.hex,CollateralManager - 999999 0.7.6.hex,CollateralManager,CollateralManager,69.53125,95.5223880597015,72.65625,0.9601386481802426,0.8536107177867335,0.5312066574202496,0.5778894472361809,0.3828494260634706
4,True,CollateralManager - 1 0.5.16.hex,CollateralManager - 999999 0.6.12.hex,CollateralManager,CollateralManager,69.53125,95.5223880597015,72.65625,0.9601386481802426,0.8545771198432568,0.5418994413407822,0.5858585858585859,0.38098449089683073
5,True,CollateralManager - 1 0.5.16.hex,CollateralManager - 1 0.6.12.hex,CollateralManager,CollateralManager,89.84375,95.5223880597015,85.15625,0.9601386481802426,0.920988475177305,0.5748930099857347,0.5858585858585859,0.4670487106017192
6,True,CollateralManager - 1 0.5.16.hex,CollateralManager - 1 0.8.4.hex,CollateralManager,CollateralManager,69.53125,60.0,67.1875,0.794912559618442,0.8671738459956821,0.4858681022880215,0.3832599118942731,0.3598937583001328
7,True,CollateralManager - 1 0.5.16.hex,CollateralManager - no 0.8.4.hex,CollateralManager,CollateralManager,63.28125,53.03030303030303,42.857142857142854,0.6657789613848203,0.6487606419046184,0.4583883751651255,0.3893805309734513,0.23299217338952438
8,True,CollateralManager - 1 0.5.16.hex,CollateralManager - no 0.7.6.hex,CollateralManager,CollateralManager,64.84375,62.857142857142854,50.0,0.7936962750716332,0.7147573456586332,0.5102599179206566,0.4537037037037037,0.2549019607843137
9,True,CollateralManager - 1 0.5.16.hex,CollateralManager - no 0.6.12.hex,CollateralManager,CollateralManager,64.84375,62.857142857142854,50.0,0.7925608011444921,0.7155371900826446,0.5312066574202496,0.4537037037037037,0.2549019607843137
