,isInner,id1,id2,group1,group2,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,raw lev,raw fourbyte,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,skeletons lev,skeletons fourbyte,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fstSecSkel lev,fstSecSkel fourbyte,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat lev,fStat fourbyte,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd,fStat0 lev,fStat0 fourbyte
0,False,1910520,140800130,multisig Gavin Wood/Ethereum/Parity,multisig WalletSimple/BitGo,0,0,16.0,0.2537313432835821,0.18518518518518517,0.0,0.0,0.17647058823529413,0.3829787234042553,1.0,0,0,12.0,0.6363636363636364,0.5,0.0,0.0,0.631578947368421,0.8297872340425532,1,0,0,12.0,0.6363636363636364,0.5,0.0,0.0,0.631578947368421,0.8297872340425532,1,0,0,2.0,0.5,0.6,0.0,0.0,0.36363636363636365,0.4285714285714286,1,0,0,6.0,0.5,0.7142857142857143,0.0,0.0,0.6333333333333333,0.8936170212765957,1
1,False,1910520,23169444,multisig Gavin Wood/Ethereum/Parity,multisig WalletSimple/BitGo,0,0,16.0,0.23943661971830985,0.15254237288135594,0.0,0.0,0.16363636363636364,0.3921568627450981,1.0,0,0,12.0,0.625,0.8,0.0,0.0,0.6666666666666666,0.8235294117647058,1,0,0,12.0,0.625,0.8,0.0,0.0,0.6666666666666666,0.8235294117647058,1,0,0,2.0,0.4444444444444444,0.6,0.0,0.0,0.3333333333333333,0.375,1,0,0,5.0,0.4444444444444444,0.8461538461538461,0.0,0.0,0.6,0.8431372549019608,1
2,True,1910520,50920937,multisig Gavin Wood/Ethereum/Parity,multisig Gavin Wood/Ethereum/Parity,0,0,16.0,0.3870967741935484,0.3333333333333333,0.0,0.0,0.2830188679245283,0.5102040816326531,1.0,12,12,12.0,0.85,1.0,0.0,0.0,0.7948717948717948,0.9183673469387755,1,12,12,12.0,0.85,1.0,0.0,0.0,0.7948717948717948,0.9183673469387755,1,0,100,100.0,0.7142857142857143,1.0,0.0,0.0,0.36363636363636365,0.7142857142857143,1,0,0,7.0,0.7142857142857143,1.0,0.0,0.0,0.7666666666666667,0.9183673469387755,1
3,False,1910520,52706191,multisig Gavin Wood/Ethereum/Parity,ambi wallet,0,0,16.0,0.1702127659574468,0.3076923076923077,0.0,0.0,0.037037037037037035,0.1145038167938931,1.0,0,0,12.0,0.21428571428571427,0.5,0.5,0.0,0.25,0.2748091603053435,1,0,0,12.0,0.21428571428571427,0.5,0.5,0.0,0.2571428571428571,0.36363636363636365,1,0,0,3.0,0.36363636363636365,0.3333333333333333,0.0,0.0,0.2857142857142857,0.30000000000000004,1,0,0,7.0,0.36363636363636365,0.4117647058823529,0.0,0.0,0.4857142857142857,0.48863636363636365,1
4,True,1910520,200351047,multisig Gavin Wood/Ethereum/Parity,multisig Gavin Wood/Ethereum/Parity,0,0,0.0,0.03787878787878788,0.36,0.04166666666666663,0.0,0.022670025188916875,0.027946537059538312,0.0,0,0,0.0,0.0299625468164794,0.7142857142857143,0.04166666666666663,0.0,0.08085106382978724,0.051032806804374276,1,0,0,0.0,0.0299625468164794,0.7142857142857143,0.04166666666666663,0.0,0.08085106382978724,0.051032806804374276,1,0,0,3.0,0.056818181818181816,0.6,0.0,0.0,0.07692307692307693,0.045454545454545414,1,0,0,2.0,0.056818181818181816,0.5,0.04166666666666663,0.0,0.1368421052631579,0.053462940461725394,1
5,True,1910520,201721732,multisig Gavin Wood/Ethereum/Parity,multisig Gavin Wood/Ethereum/Parity,0,0,0.0,0.03278688524590164,0.21428571428571427,0.03703703703703709,0.0,0.016701461377870562,0.023783783783783763,0.0,0,0,0.0,0.027491408934707903,0.7142857142857143,0.04166666666666663,0.0,0.084,0.045405405405405386,1,0,0,0.0,0.027491408934707903,0.7142857142857143,0.04166666666666663,0.04166666666666663,0.0846774193548387,0.04761904761904767,1,0,0,3.0,0.050505050505050504,0.3333333333333333,0.0,0.0,0.07407407407407407,0.04040404040404044,1,0,0,2.0,0.050505050505050504,0.5,0.04166666666666663,0.0,0.14285714285714285,0.049886621315192725,1
6,False,1910520,211666803,multisig Gavin Wood/Ethereum/Parity,ambi wallet,0,0,16.0,0.1388888888888889,0.21428571428571427,0.5,0.0,0.044444444444444446,0.12213740458015265,1.0,0,0,12.0,0.21818181818181817,0.5,0.0,0.0,0.2676056338028169,0.2748091603053435,1,0,0,12.0,0.21818181818181817,0.5,0.5,0.0,0.2753623188405797,0.375,1,0,0,3.0,0.36363636363636365,0.3333333333333333,0.0,0.0,0.2857142857142857,0.30000000000000004,1,0,0,7.0,0.36363636363636365,0.4117647058823529,0.0,0.0,0.4857142857142857,0.48863636363636365,1
7,False,1910520,212062586,multisig Gavin Wood/Ethereum/Parity,ambi wallet,0,0,16.0,0.15942028985507245,0.19298245614035087,1.0,0.0,0.038461538461538464,0.12698412698412698,1.0,0,0,12.0,0.23076923076923078,0.5,1.0,0.0,0.2647058823529412,0.2857142857142857,1,0,0,12.0,0.23076923076923078,0.5,1.0,0.0,0.2878787878787879,0.3855421686746988,1,0,0,3.0,0.4444444444444444,0.3333333333333333,1.0,0.0,0.3333333333333333,0.375,1,0,0,7.0,0.4444444444444444,0.4117647058823529,1.0,0.0,0.5161290322580645,0.5180722891566265,1
8,False,1910520,252638781,multisig Gavin Wood/Ethereum/Parity,ambi wallet,0,0,16.0,0.14018691588785046,0.13333333333333333,0.0,0.0,0.08791208791208792,0.13953488372093026,1.0,0,0,12.0,0.22413793103448276,0.5,0.0,0.0,0.2571428571428571,0.43023255813953487,1,0,0,12.0,0.22413793103448276,0.5,0.0,0.0,0.2571428571428571,0.43023255813953487,1,0,0,3.0,0.23529411764705882,0.3333333333333333,0.0,0.0,0.2,0.1875,1,0,0,7.0,0.23529411764705882,0.4117647058823529,0.0,0.0,0.36363636363636365,0.4883720930232558,1
9,False,1910520,263273729,multisig Gavin Wood/Ethereum/Parity,ambi wallet,0,0,16.0,0.19444444444444445,0.15254237288135594,0.0,0.0,0.12727272727272726,0.23529411764705888,1.0,0,0,12.0,0.4642857142857143,0.5,0.0,0.0,0.46153846153846156,0.6862745098039216,1,0,0,12.0,0.4642857142857143,0.5,0.0,0.0,0.46153846153846156,0.6862745098039216,1,0,0,3.0,0.36363636363636365,0.6,0.0,0.0,0.2857142857142857,0.30000000000000004,1,0,0,7.0,0.36363636363636365,0.6,0.0,0.0,0.5,0.803921568627451,1
