,isInner,id1,id2,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw ncd,raw lev,raw fourbyte,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons ncd,skeletons lev,skeletons fourbyte,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel ncd,fstSecSkel lev,fstSecSkel fourbyte,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat ncd,fStat lev,fStat fourbyte,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 ncd,fStat0 lev,fStat0 fourbyte
fstSecSkel jump,0.1558057604928818,0.20936561879825238,0.19924125701804896,0.2205934490175208,0.22075496388987087,-0.07655478593294945,0.014058703522876859,-0.1045537372145961,0.0010624590843796126,0.3977827936912324,-0.022848150738750204,0.010011062740299998,-0.0542994896924664,0.23030575770862804,0.22911790556498632,-0.029034706134429336,-0.028344336459237538,-0.15013221335965923,0.06570692382007387,0.8837503825689029,-0.09300434302318165,-0.02841855351483057,,0.23022618506177514,0.22911790556498632,-0.02899466594668787,-0.028344336459237538,-0.14554732648836335,0.07464651342404492,1.0,-0.09008799208140424,-0.03248124125949275,,0.16171502042299768,0.13799078051034508,0.031003264043699658,-0.08246200463279511,0.013224928022194595,0.14385555404669392,0.3673069523526119,-0.018343730525611595,-0.07001056924323432,,0.29837555880752903,0.298260133059441,0.038399930415027796,-0.08246200463279511,-0.09335730280293915,0.07966107176012746,0.6812371084056842,-0.1743993453926852,-0.041043912761195664,
fstSecSkel ncd,0.2299767199813332,-0.02200818056163033,-0.22489479402516532,0.24045988447986924,0.2402435101079482,0.5221684616461041,0.64676894151766,0.24699245243288284,0.49091300909240815,-0.3070802686509872,0.66381986339825,0.6915800364576377,0.4849386016424888,0.27012661621754486,0.26987447693733196,0.46307566221231267,0.7365944517879032,0.11733529949633734,0.42633083635939734,-0.08999524292720658,0.9735959958222767,0.7567885467526703,,0.2702305187924369,0.26987447693733196,0.45787796897575844,0.7365944517879032,0.12364854666704395,0.42377411442376056,-0.09008799208140424,1.0,0.8201151444247419,,0.13570344858873662,0.14920222495146235,0.23947462479111212,0.7314303663862876,0.050790963872848156,0.27314169651814973,0.15891195556861468,0.6596122455328793,0.7082173547100181,,0.2110947892346254,0.21116940739978432,0.26159269427240617,0.7314303663862876,0.30101874560726655,0.4009013701436533,-0.04625561020290526,0.7940698900528446,0.8046327598261541,
fstSecSkel lev,0.1646879497783913,-0.026398089873072315,-0.18350541075649418,0.23807665901982403,0.23776076922890563,0.5166649851284961,0.7164836395276616,0.2011763768032276,0.5281625773201903,-0.277446213421703,0.621073148298815,0.7332050460109403,0.5152651779248554,0.2676877720251753,0.26684177863079206,0.49314190762383936,0.8027241222268449,0.06196694910261536,0.4647072234147523,-0.028766791877242993,0.8231700948426152,0.8438258115349505,,0.2676725506998224,0.26684177863079206,0.48608826162468205,0.8027241222268449,0.06165902582510625,0.46956877057308116,-0.03248124125949275,0.8201151444247419,1.0,,0.1351229581922181,0.14880726185366638,0.2909753400249871,0.7353678703688421,0.007700265333091994,0.28901093146204676,0.2117080966363251,0.6551778504671641,0.6976937688047756,,0.2021853594628066,0.20225991158650233,0.3033299624857667,0.7353678703688421,0.26961706499645727,0.4375243538111458,0.015851593956172697,0.7112343389971543,0.9183668513875857,
fstSecSkel fourbyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
fStat ssdeep,0.20144437027358225,0.01456246891418074,-0.05208431422128353,0.3370111164235714,0.33647076435631434,0.1170184336857006,0.13116958647815358,0.08512827455191627,0.06260981895266822,0.06191826290440204,0.13565193571942485,0.13443676554663517,0.12435704855565458,0.2931042538969122,0.29242728959295716,0.1059124481352167,0.13893507460410204,0.10281356326836781,0.08065810586756311,0.1659461152231573,0.13587503633972414,0.13536363620846129,,0.2931201381540108,0.29242728959295716,0.10533443860720276,0.13893507460410204,0.1036686276492844,0.1333139383698185,0.16171502042299768,0.13570344858873662,0.1351229581922181,,1.0,0.9111084739172969,0.1491855417528542,0.14074540152939743,0.10483594283310799,0.14030774138027036,0.16875931489972662,0.1247957530678873,0.1410892157314814,,0.3820124697365692,0.3820124697365692,0.12914407800681654,0.14074540152939743,0.10973115271495643,0.13070257206309968,0.21763521700442218,0.12312398874132476,0.1339840135593342,
fStat ppdeep,0.2319035680273066,-0.011749897642682819,-0.07393314589779418,0.30448383185853994,0.30399081522444327,0.1060619154618502,0.14177050516769357,0.09332815332643384,0.03238131423082145,0.04748880389150072,0.14725167573444056,0.14665618011887258,0.13635098831034567,0.3558035896485969,0.3551707419579214,0.09321587926482879,0.15170424321281173,0.12006555914273537,0.04987520543282149,0.14213377912367883,0.14934809962993523,0.14892396199401214,,0.35582287178326205,0.3551707419579214,0.09229797680641008,0.15170424321281173,0.12085853940705137,0.09832642491026748,0.13799078051034508,0.14920222495146235,0.14880726185366638,,0.9111084739172969,1.0,0.16443960185210663,0.15121036938014812,0.11842049712096564,0.10686082229310474,0.13965199633427286,0.1375854616511619,0.15145560356762677,,0.3459221368857469,0.3459221368857469,0.10610108778644857,0.15121036938014812,0.12628142958875568,0.09622360976921297,0.18922471166212745,0.13758095096906803,0.14729559328336764,
fStat ppdeep_mod,0.052923633018547925,0.1335756377234336,-0.004360329713235439,0.18404185822600488,0.18389566987605935,0.343660107454575,0.4809829242333608,0.2910239831384978,0.22427707146963413,-0.22312755119955757,0.4471517232468882,0.4231800265751717,-0.07420374847264964,0.19255853021677424,0.19175480808875575,0.3386305368760075,0.3897313042525629,0.09950008480726619,0.289470172740965,0.053576369724049895,0.24043100629717237,0.3704845584350285,,0.19250458277587768,0.19175480808875575,0.3455764690396411,0.3897313042525629,0.0905902477395955,0.24395681072295897,0.031003264043699658,0.23947462479111212,0.2909753400249871,,0.1491855417528542,0.16443960185210663,1.0,0.29637202378116784,-0.14008334696704547,0.23791463161369467,0.09929507099706715,0.34795217117834015,0.20643799809267288,,0.1807530568111035,0.18083378617993384,0.7768674896068813,0.29637202378116784,0.18624705974511105,0.192317006657557,0.06563342238679849,0.15795982371650982,0.3020036195706163,
fStat byteBag,0.22299440636288667,0.08561686652451235,-0.14539106534088564,0.23578795893774693,0.23567268640980052,0.5928055316007491,0.6691282072021145,0.2814644958234853,0.5803547174620671,-0.2935092293386072,0.6020165820767864,0.6452689821961761,0.39220827034894945,0.26443961351214246,0.2633539440461824,0.524349758377139,0.7772376452541727,0.08895131119613435,0.45816764950019123,-0.08788673109307278,0.7301164140038002,0.6780891793371177,,0.2643943490856237,0.2633539440461824,0.520568252962029,0.7772376452541727,0.09037805412988473,0.4701852135914024,-0.08246200463279511,0.7314303663862876,0.7353678703688421,,0.14074540152939743,0.15121036938014812,0.29637202378116784,1.0,0.07144656317489148,0.3339114491916578,0.17095407205519075,0.6377567582765599,0.8240155555999815,,0.2116995475965055,0.21162482131779162,0.34597754251962126,1.0,0.22211295046341817,0.4466196378462797,-0.029436169711419533,0.7641152679983874,0.7398556404545948,
fStat lzjd,0.13727741152304485,0.05104917567532693,0.19176285806247284,0.13309875791780018,0.13289918277260762,0.09054483668688731,0.004248574368818629,0.08338838286552122,0.0804068701002653,0.05299721898061162,0.07699109048012794,0.03303227016938253,0.019578128604851867,0.1354903374201699,0.13592846714791984,0.1055799085921967,0.03443420434332839,0.0938252702438682,0.054335795834133414,0.005250575531214367,0.0510047335899133,-0.0026847813478518717,,0.1355590467778928,0.13592846714791984,0.10748271613522466,0.03443420434332839,0.08867874021113607,0.14353235628819447,0.013224928022194595,0.050790963872848156,0.007700265333091994,,0.10483594283310799,0.11842049712096564,-0.14008334696704547,0.07144656317489148,1.0,-0.002230027311818535,-0.017241796791028437,-0.04876184425140327,0.11929888940442887,,0.08387276508956304,0.08379581759865519,-0.11082933733931581,0.07144656317489148,0.2232956295195694,0.1800206371227118,0.017388403851148083,0.06718822354829723,-0.004418581346435954,
fStat bz,0.060537332004966034,0.1796654815296854,0.01584007264694086,0.13773865053123144,0.1378497195710765,0.25709977579264254,0.28243426068959004,0.22648578993662927,0.39049665848296705,-0.05636978106116316,0.2838975753598126,0.2691659454712347,-0.011308123784770904,0.14963528076694646,0.14858771507994495,0.2515058041159276,0.29243225987320887,0.11680440497452955,0.42069338938847295,0.15770694823084494,0.2735766897213269,0.2731082448314786,,0.14958136163328473,0.14858771507994495,0.25272779753562746,0.29243225987320887,0.11025412253793306,0.33934447720946515,0.14385555404669392,0.27314169651814973,0.28901093146204676,,0.14030774138027036,0.10686082229310474,0.23791463161369467,0.3339114491916578,-0.002230027311818535,1.0,0.4405916831023971,0.26339931493721797,0.3228129357127529,,0.18530400158212482,0.1853817787076577,0.27184227502853736,0.3339114491916578,0.1068077988491635,0.39444933900351203,0.20433295067834586,0.2532552276407196,0.2744471986140448,
