,isInner,id1,id2,group1,group2,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw jump,raw ncd,raw fourbytes,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons jump,skeletons ncd,skeletons fourbytes,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel jump,fstSecSkel ncd,fstSecSkel fourbytes,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat jump,fStat ncd,fStat fourbytes,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 jump,fStat0 ncd,fStat0 fourbytes
0,True,809755,32857892,multisig Gavin Wood/Ethereum/Parity,multisig Gavin Wood/Ethereum/Parity,0,46.05263157894737,0.549819551231759,0.1689497716894977,0.02970297029702973,0.31644403500690926,0.8333333333333334,0,58.208955223880594,0.6118295019157088,0.15315315315315314,0.173469387755102,0.23742138364779874,1,0,58.208955223880594,0.6118295019157088,0.15315315315315314,0.173469387755102,0.23742138364779874,1,0,47.27272727272727,0.6801948051948052,0.34,0.33673469387755106,0.30493273542600896,1,0,50.0,0.6801948051948052,0.28,0.19387755102040816,0.2204724409448819,1
1,True,809755,121531285,multisig Gavin Wood/Ethereum/Parity,multisig Gavin Wood/Ethereum/Parity,0,64.0625,0.8769993602047345,0.39509536784741145,0.1089108910891089,0.6397973284200829,0.8333333333333334,0,72.36842105263158,0.9086656819300837,0.4463276836158192,0.6326530612244898,0.8021523178807947,1,0,72.36842105263158,0.9086656819300837,0.4463276836158192,0.6326530612244898,0.8021523178807947,1,82,80.64516129032258,0.9455445544554455,0.5098039215686274,0.8367346938775511,0.820627802690583,1,75,73.80952380952381,0.9455445544554455,0.48405797101449277,0.6326530612244898,0.6830708661417323,1
2,True,809755,123840295,multisig Gavin Wood/Ethereum/Parity,multisig Gavin Wood/Ethereum/Parity,0,44.30379746835443,0.5699262282216293,0.18518518518518517,0.01980198019801982,0.3146015660985721,0.8888888888888888,0,58.208955223880594,0.6345785440613027,0.16363636363636364,0.173469387755102,0.23082942097026604,1,0,58.208955223880594,0.6345785440613027,0.16363636363636364,0.173469387755102,0.23082942097026604,1,0,45.45454545454545,0.6889952153110048,0.36683417085427134,0.33673469387755106,0.28699551569506726,1,0,50.79365079365079,0.6889952153110048,0.29292929292929293,0.20408163265306123,0.21850393700787402,1
3,True,809755,123946738,multisig Gavin Wood/Ethereum/Parity,multisig Gavin Wood/Ethereum/Parity,0,51.470588235294116,0.5648771325716074,0.18793503480278423,0.01980198019801982,0.31736526946107785,0.9444444444444444,0,58.8235294117647,0.6329659798754192,0.1583710407239819,0.18367346938775508,0.23186119873817035,1,0,58.8235294117647,0.6329659798754192,0.1583710407239819,0.18367346938775508,0.23186119873817035,1,0,45.45454545454545,0.6905901116427432,0.36,0.34693877551020413,0.2914798206278027,1,0,50.79365079365079,0.6905901116427432,0.32299741602067183,0.2142857142857143,0.21456692913385828,1
4,True,809755,123948734,multisig Gavin Wood/Ethereum/Parity,multisig Gavin Wood/Ethereum/Parity,0,44.30379746835443,0.5662914321450907,0.18518518518518517,0.01980198019801982,0.3215108245048365,1.0,0,60.869565217391305,0.6356013416387158,0.15056179775280898,0.19387755102040816,0.23246650906225375,1,0,60.869565217391305,0.6356013416387158,0.15056179775280898,0.19387755102040816,0.23246650906225375,1,0,45.45454545454545,0.69377990430622,0.37373737373737376,0.3571428571428571,0.3004484304932735,1,0,50.79365079365079,0.69377990430622,0.29949238578680204,0.22448979591836737,0.21850393700787402,1
5,True,809755,127875082,multisig Gavin Wood/Ethereum/Parity,multisig Gavin Wood/Ethereum/Parity,0,46.05263157894737,0.6213801601971657,0.21040189125295508,0.026548672566371723,0.31952662721893493,0.8947368421052632,0,66.66666666666666,0.7086186540731996,0.17972350230414746,0.19819819819819817,0.25214007782101167,1,0,67.10526315789474,0.7086186540731996,0.17972350230414746,0.19819819819819817,0.2525331254871395,1,0,48.38709677419355,0.7274143302180686,0.330188679245283,0.3153153153153153,0.31390134529147984,1,0,30.188679245283012,0.7274143302180686,0.3368146214099217,0.18018018018018023,0.2106299212598425,1
6,True,809755,128171045,multisig Gavin Wood/Ethereum/Parity,multisig Gavin Wood/Ethereum/Parity,0,41.46341463414634,0.5665886026541764,0.18518518518518517,0.03960396039603964,0.3196683555964993,0.8333333333333334,0,57.971014492753625,0.6346749226006192,0.1689497716894977,0.18367346938775508,0.23538344722854973,1,0,57.971014492753625,0.6346749226006192,0.1689497716894977,0.18367346938775508,0.23538344722854973,1,0,46.15384615384615,0.7064516129032258,0.34285714285714286,0.34693877551020413,0.32158590308370044,1,0,50.79365079365079,0.7064516129032258,0.28967254408060455,0.19387755102040816,0.2204724409448819,1
7,True,809755,130716945,multisig Gavin Wood/Ethereum/Parity,multisig Gavin Wood/Ethereum/Parity,0,43.75,0.5728125,0.19069767441860466,0.02970297029702973,0.32934131736526945,0.8333333333333334,0,61.333333333333336,0.6378121284185494,0.1662870159453303,0.18367346938775508,0.250384024577573,1,0,61.333333333333336,0.6378121284185494,0.1662870159453303,0.18367346938775508,0.250384024577573,1,0,44.0,0.7154471544715447,0.35609756097560974,0.34693877551020413,0.32286995515695066,1,0,51.58730158730159,0.7154471544715447,0.3161953727506427,0.19387755102040816,0.23818897637795275,1
8,True,809755,133211890,multisig Gavin Wood/Ethereum/Parity,multisig Gavin Wood/Ethereum/Parity,0,45.205479452054796,0.573591384423287,0.20470588235294118,0.03960396039603964,0.3316444035006909,0.8333333333333334,0,61.333333333333336,0.6398859044449726,0.18244803695150116,0.173469387755102,0.25134099616858235,1,0,61.333333333333336,0.6398859044449726,0.18244803695150116,0.173469387755102,0.25134099616858235,1,0,44.0,0.7154471544715447,0.35609756097560974,0.33673469387755106,0.33482142857142855,1,0,51.724137931034484,0.7154471544715447,0.3128205128205128,0.19387755102040816,0.23818897637795275,1
9,True,809755,135158642,multisig Gavin Wood/Ethereum/Parity,multisig Gavin Wood/Ethereum/Parity,0,51.5625,0.3387516254876463,0.13274336283185842,0.02970297029702973,0.17273146015660987,0.5,0,0.0,0.35595703125,0.10822510822510822,0.12244897959183676,0.12996688741721854,1,0,0.0,0.35595703125,0.10822510822510822,0.12244897959183676,0.12996688741721854,1,0,0.0,0.35073409461663946,0.4230769230769231,0.29591836734693877,0.14349775784753363,1,0,49.107142857142854,0.35073409461663946,0.24293785310734464,0.12244897959183676,0.10826771653543307,1
