,isInner,id1,id2,group1,group2,raw ssdeep,raw ppdeep,raw ppdeep_mod,raw byteBag,raw lzjd,raw bz,raw jump,raw fourbytes,skeletons ssdeep,skeletons ppdeep,skeletons ppdeep_mod,skeletons byteBag,skeletons lzjd,skeletons bz,skeletons jump,skeletons fourbytes,fstSecSkel ssdeep,fstSecSkel ppdeep,fstSecSkel ppdeep_mod,fstSecSkel byteBag,fstSecSkel lzjd,fstSecSkel bz,fstSecSkel jump,fstSecSkel fourbytes,fStat ssdeep,fStat ppdeep,fStat ppdeep_mod,fStat byteBag,fStat lzjd,fStat bz,fStat jump,fStat fourbytes,fStat0 ssdeep,fStat0 ppdeep,fStat0 ppdeep_mod,fStat0 byteBag,fStat0 lzjd,fStat0 bz,fStat0 jump,fStat0 fourbytes
0,True,285028355,243827877,multisig Christian Lundkvist,multisig Christian Lundkvist,0.0,0.0,0.7162162162162161,0.9095100864553314,0.514792899408284,0.96,0.040000000000000036,1.0,0.68,0.82,0.8,0.9582542694497154,0.45042492917847027,1.0,0.64,1,0.65,0.8,0.7916666666666667,0.9582542694497154,0.45042492917847027,1.0,0.64,1,0.62,0.59,0.59,0.967391304347826,0.6266666666666667,0.92,0.84,1,0.69,0.85,0.8333333333333333,0.967391304347826,0.5652173913043478,1.0,0.6799999999999999,1
1,True,285028355,243835644,multisig Christian Lundkvist,multisig Christian Lundkvist,0.0,0.0,0.6029411764705883,0.5971910112359551,0.28,0.84,0.0,1.0,0.0,0.0,0.5333333333333333,0.8268518518518518,0.29949238578680204,0.84,0.28,1,0.0,0.0,0.532258064516129,0.8268518518518518,0.29620253164556964,0.8,0.28,1,0.43,0.6,0.6,0.851063829787234,0.4146341463414634,0.76,0.43999999999999995,1,0.0,0.0,0.6147540983606558,0.851063829787234,0.5207373271889401,0.76,0.28,1
2,True,285028355,244283543,multisig Christian Lundkvist,multisig Christian Lundkvist,0.0,0.0,0.5735294117647058,0.6031830238726791,0.3161953727506427,0.8461538461538461,0.0,1.0,0.0,0.0,0.5555555555555556,0.8204683434518647,0.3403141361256545,0.8076923076923077,0.15384615384615385,1,0.0,0.0,0.5538461538461539,0.8204683434518647,0.3368146214099217,0.8461538461538461,0.15384615384615385,1,0.41,0.6,0.6,0.8556701030927835,0.40476190476190477,0.6538461538461539,0.34615384615384615,1,0.0,0.0,0.6031746031746031,0.8556701030927835,0.4789915966386555,0.8461538461538461,0.1923076923076923,1
3,True,285028355,247599325,multisig Christian Lundkvist,multisig Christian Lundkvist,0.0,0.0,0.5555555555555556,0.7652717652717653,0.35809018567639256,0.6363636363636364,0.0,0.42857142857142855,0.52,0.66,0.6309523809523809,0.8074133763094279,0.42618384401114207,0.6363636363636364,0.21212121212121215,1,0.5,0.66,0.627906976744186,0.8074133763094279,0.4301675977653631,0.6666666666666667,0.21212121212121215,1,0.41,0.61,0.6,0.7608695652173914,0.4606741573033708,0.7272727272727273,0.3939393939393939,1,0.65,0.8,0.7936507936507937,0.7608695652173914,0.5346938775510204,0.6363636363636364,0.18181818181818177,1
4,True,285028355,256786601,multisig Christian Lundkvist,multisig Christian Lundkvist,0.0,0.0,0.44,0.5338696020321761,0.20754716981132076,0.5135135135135135,0.027027027027026973,0.5,0.0,0.0,0.4823529411764706,0.6409929980903882,0.23671497584541062,0.45945945945945943,0.10810810810810811,1,0.0,0.0,0.48275862068965514,0.6409929980903882,0.23671497584541062,0.4864864864864865,0.10810810810810811,1,0.0,0.0,0.5064935064935066,0.6272401433691757,0.42857142857142855,0.5405405405405406,0.18918918918918914,1,0.0,0.0,0.5634920634920635,0.6272401433691757,0.5161290322580645,0.5675675675675675,0.1351351351351351,1
5,True,285028355,273722852,multisig Christian Lundkvist,multisig Christian Lundkvist,0.0,0.0,0.6329113924050633,0.8597430406852249,0.4143646408839779,0.8333333333333334,0.0,0.6666666666666666,0.66,0.79,0.75,0.9052631578947369,0.501466275659824,0.8620689655172413,0.5862068965517242,1,0.68,0.79,0.7564102564102564,0.9052631578947369,0.501466275659824,0.8620689655172413,0.5862068965517242,1,0.63,0.64,0.64,0.895,0.5476190476190477,0.7586206896551724,0.7586206896551724,1,0.66,0.8,0.7936507936507937,0.895,0.5537190082644629,0.7931034482758621,0.6206896551724138,1
6,True,285028355,277877289,multisig Christian Lundkvist,multisig Christian Lundkvist,0.0,0.0,0.45,0.5093419983753046,0.18793503480278423,0.5128205128205128,0.02564102564102566,0.42857142857142855,0.0,0.0,0.46590909090909094,0.6131386861313869,0.23671497584541062,0.4871794871794872,0.1282051282051282,1,0.0,0.0,0.4666666666666666,0.6131386861313869,0.23373493975903614,0.4871794871794872,0.1282051282051282,1,0.0,0.0,0.46987951807228917,0.6048109965635738,0.4444444444444444,0.5128205128205128,0.20512820512820518,1,0.0,0.0,0.5634920634920635,0.6048109965635738,0.5346938775510204,0.5641025641025641,0.1282051282051282,1
7,True,285028355,279507819,multisig Christian Lundkvist,multisig Christian Lundkvist,0.96,0.96,0.942857142857143,0.9047619047619048,0.7777777777777778,0.92,0.84,1.0,0.97,0.97,0.9538461538461539,0.9240265906932573,0.855072463768116,0.92,0.84,1,0.94,0.96,0.9402985074626865,0.9240265906932573,0.855072463768116,0.92,0.84,1,0.64,0.6,0.6,0.9197860962566845,0.8529411764705882,0.84,0.84,1,0.99,1.0,1.0,0.9197860962566845,0.9456521739130435,0.92,0.84,1
8,True,285028355,279633365,multisig Christian Lundkvist,multisig Christian Lundkvist,0.0,0.0,0.4426229508196721,0.5171081677704195,0.2704714640198511,0.8,0.0,1.0,0.0,0.0,0.45454545454545453,0.7016769638128861,0.27680798004987534,0.84,0.43999999999999995,1,0.0,0.0,0.456140350877193,0.7016769638128861,0.2736318407960199,0.8,0.43999999999999995,1,0.0,0.0,0.6,0.7772277227722773,0.4444444444444444,0.8,0.56,1,0.0,0.0,0.5084745762711864,0.7772277227722773,0.4642857142857143,0.72,0.4,1
9,True,285028355,279794484,multisig Christian Lundkvist,multisig Christian Lundkvist,0.44,0.61,0.6363636363636364,0.657016485725774,0.36533333333333334,0.6571428571428571,0.02857142857142858,0.5,0.77,0.82,0.7714285714285714,0.7028839704896043,0.3875338753387534,0.6571428571428571,0.5714285714285714,1,0.75,0.82,0.7647058823529411,0.7028839704896043,0.3875338753387534,0.6285714285714286,0.5714285714285714,1,0.63,0.64,0.64,0.7510204081632653,0.5853658536585366,0.6571428571428571,0.5714285714285714,1,0.66,0.68,0.6666666666666665,0.7510204081632653,0.6,0.6,0.5714285714285714,1
